time,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
1978-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,7766.05,,,,,,,,,,
1978-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,7908.6,,,,,,,,,,
1978-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,8290.45,,,,,,,,,,
1978-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,8430.849999999999,,,,,,,,,,
1979-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,8177.200000000001,,,,,,,,,,
1979-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,8528.8,,,,,,,,,,
1979-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,8823.6,,,,,,,,,,
1979-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,8955.5,,,,,,,,,,
1980-01-01,,,,,,,,,,,,,,,108354.46666666667,,,,,,,,,,,9892.45,,,,,,,,,,
1980-04-01,,,,,,,,,,,,,,,112637.06666666665,,,,,,,,,,,10281.0,,,,,,,,,,
1980-07-01,,,,,,,,,,,,,,,112707.36666666668,,,,,,,,,,,10297.75,,,,,,,,,,
1980-10-01,,,,,,,,,,,,,,,116664.63333333335,,,,,,,,,,,10948.5,,,,,,,,,,
1981-01-01,,,,,,,,,,,,,,,118652.59999999999,,,,,,,,,,,11809.75,,,,,,,,,,
1981-04-01,,,,,,,,,,,,,,,122173.13333333335,,,,,,,,,,,12889.2,,,,,,,,,,
1981-07-01,,,,,,,,,,,,,,,123945.3,,,,,,,,,,,13135.3,,,,,,,,,,
1981-10-01,,,,,,,,,,,,,,,129718.40000000001,,,,,,,,,,,12961.7,,,,,,,,,,
1982-01-01,,,,,,,,,,,,,,,132980.19999999998,,,,,,,,,,,13996.6,,,,,,,,,,
1982-04-01,,,,,,,,,,,,,,,136736.5,,,,,,,,,,,14472.099999999999,,,,,,,,,,
1982-07-01,,,,,,,,,,,,,,,128569.0,,,,,,,,,,,14602.05,,,,,,,,,,
1982-10-01,,,,,,,,,,,,,,,135257.86666666667,,,,,,,,,,,14010.7,,,,,,,,,,
1983-01-01,,,,,,,,,,,,,,,140461.4,,,,,,,,,,,14157.95,,,,,,,,,,
1983-04-01,,,,,,,,,,,,,,,139410.90000000002,,,,,,,,,,,15189.85,,,,,,,,,,
1983-07-01,,,,,,,,,,,,,,,138335.80000000002,,,,,,,,,,,15872.9,,,,,,,,,,
1983-10-01,,,,,,,,,,,,,,,143714.33333333334,,,,,,,,,,,16378.65,,,,,,,,,,
1984-01-01,,,,,,,,,,,,,,,147047.93333333332,,,,,,,,,,,16977.0,,,,,,,,,,
1984-04-01,,,,,,,,,,,,,,,150025.7,,,,,,,,,,,17230.2,,,,,,,,,,
1984-07-01,,,,,,,,,,,,,,,149153.90000000002,,,,,,,,,,,18030.6,,,,,,,,,,
1984-10-01,,,,,,,,,,,,,,,156004.56666666665,,,,,,,,,,,18035.85,,,,,,,,,,
1985-01-01,,,,,,,,,,,,,,,158452.1,,,,,,,,,,,18571.35,,,,,,,,,,
1985-04-01,,,,,,,,,,,,,,,161732.96666666667,,,,,,,,,,,18262.1,,,,,,,,,,
1985-07-01,,,,,,,,,,,,,,,161251.03333333333,,,,,,,,,,,19575.65,,,,,,,,,,
1985-10-01,,,,,,,,,,,,,,,170217.63333333333,,,,,,,,,,,19506.0,,,,,,,,,,
1986-01-01,,,,,,,,,,,,,,,175232.2333333333,,,,,,,,,,,18390.35,,,,,,,,,,
1986-04-01,,,,,,,,,,,,,,,174328.46666666667,,,,,,,,,,,16844.45,,,,,,,,,,
1986-07-01,,,,,,,,,,,,,,,172177.16666666666,,,,,,,,,,,16736.15,,,,,,,,,,
1986-10-01,,,,,,,,,,,,,,,179961.0,,,,,,,,,,,17026.25,,,,,,,,,,
1987-01-01,,,,,,,,,,,,,,,177498.29999999996,,,,,,,,,,,16807.6,,,,,,,,,,
1987-04-01,,,,,,,,,,,,,,,179978.2333333333,,,,,,,,,,,17604.4,,,,,,,,,,
1987-07-01,,,,,,,,,,,,,,,178839.53333333335,,,,,,,,,,,18184.95,,,,,,,,,,
1987-10-01,,,,,,,,,,,,,,,186612.16666666666,,,,,,,,,,,18316.15,,,,,,,,,,
1988-01-01,,,,,,,,,,,,,,,187726.06666666665,,,,,,,,,,,18421.949999999997,,,,,,,,,,
1988-04-01,,,,,,,,,,,,,,,191598.79999999996,,,,,,,,,,,19002.0,,,,,,,,,,
1988-07-01,,,,,,,,,,,,,,,190941.16666666666,,,,,,,,,,,18944.5,,,,,,,,,,
1988-10-01,,,,,,,,,,,,,,,197773.6,,,,,,,,,,,19171.35,,,,,,,,,,
