time,values
1995-01-01,1600923.5
1995-04-01,1640884.3
1995-07-01,1652305.0
1995-10-01,1743834.9
1996-01-01,1670650.3
1996-04-01,1734793.8
1996-07-01,1739728.5
1996-10-01,1838489.7
1997-01-01,1749618.7
1997-04-01,1835861.2
1997-07-01,1843306.7
1997-10-01,1942571.0
1998-01-01,1858775.8
1998-04-01,1916808.6
1998-07-01,1916750.3
1998-10-01,2007455.8
1999-01-01,1916238.8
1999-04-01,1994163.7
1999-07-01,2004996.5
1999-10-01,2136134.7
2000-01-01,2080875.3
2000-04-01,2147249.4
2000-07-01,2152786.2
2000-10-01,2276357.4
2001-01-01,2178405.4
2001-04-01,2256855.3
2001-07-01,2240603.4
2001-10-01,2362453.1
2002-01-01,2268981.2
2002-04-01,2335413.1
2002-07-01,2328132.3
2002-10-01,2440409.7
2003-01-01,2310342.0
2003-04-01,2351051.9
2003-07-01,2365792.6
2003-10-01,2483607.4
2004-01-01,2399035.0
2004-04-01,2492690.4
2004-07-01,2483479.1
2004-10-01,2600491.3
2005-01-01,2488651.0
2005-04-01,2602247.9
2005-07-01,2585345.8
2005-10-01,2724579.0
2006-01-01,2635083.7
2006-04-01,2722284.7
2006-07-01,2734179.9
2006-10-01,2884521.6
2007-01-01,2815035.9
2007-04-01,2890300.3
2007-07-01,2900078.1
2007-10-01,3029662.1
2008-01-01,2890348.3
2008-04-01,2967929.8
2008-07-01,2939058.6
2008-10-01,2956481.4
2009-01-01,2690719.8
2009-04-01,2765334.7
2009-07-01,2778803.9
2009-10-01,2883049.6
2010-01-01,2754388.2
2010-04-01,2875237.9
2010-07-01,2887422.0
2010-10-01,3008363.6
2011-01-01,2891787.1
2011-04-01,2957860.0
2011-07-01,2940656.3
2011-10-01,3046158.0
2012-01-01,2932008.0
2012-04-01,3009639.6
2012-07-01,3024572.6
2012-10-01,3111425.9
2013-01-01,2944531.0
2013-04-01,3035106.8
2013-07-01,3040628.0
2013-10-01,3156912.9
2014-01-01,3039096.2
2014-04-01,3130048.9
2014-07-01,3156642.3
2014-10-01,3272368.9
2015-01-01,3192323.5
2015-04-01,3308213.6
2015-07-01,3322217.6
2015-10-01,3448333.2
2016-01-01,3265628.8
2016-04-01,3368178.1
2016-07-01,3312360.5
2016-10-01,3431287.1
2017-01-01,3325036.3
2017-04-01,3430170.0
2017-07-01,3423832.3
2017-10-01,3563619.6
2018-01-01,3434382.7
2018-04-01,3538041.0
2018-07-01,3533647.0
