"","nace_r2","geo","time","values"
"1","Agriculture, forestry and fishing","Switzerland",2018-04-01,710.8
"2","Agriculture, forestry and fishing","Cyprus",2018-04-01,63.7
"3","Agriculture, forestry and fishing","Czechia",2018-04-01,485.8
"4","Agriculture, forestry and fishing","Finland",2018-04-01,1286.6
"5","Agriculture, forestry and fishing","France",2018-04-01,7936.3
"6","Agriculture, forestry and fishing","Italy",2018-04-01,6151
"7","Agriculture, forestry and fishing","Lithuania",2018-04-01,225.9
"8","Agriculture, forestry and fishing","Luxembourg",2018-04-01,19.9
"9","Agriculture, forestry and fishing","Latvia",2018-04-01,202.8
"10","Industry (except construction)","Switzerland",2018-04-01,23173.7
"11","Industry (except construction)","Cyprus",2018-04-01,310.9
"12","Industry (except construction)","Czechia",2018-04-01,12374.5
"13","Industry (except construction)","Finland",2018-04-01,9805.8
"14","Industry (except construction)","France",2018-04-01,67615.4
"15","Industry (except construction)","Hungary",2018-04-01,6340
"16","Industry (except construction)","Italy",2018-04-01,67040.7
"17","Industry (except construction)","Lithuania",2018-04-01,1628.4
"18","Industry (except construction)","Luxembourg",2018-04-01,646.3
"19","Industry (except construction)","Latvia",2018-04-01,540.2
"20","Manufacturing","Switzerland",2018-04-01,21749.3
"21","Manufacturing","Cyprus",2018-04-01,233.9
"22","Manufacturing","Czechia",2018-04-01,12412.5
"23","Manufacturing","Finland",2018-04-01,8595.2
"24","Manufacturing","France",2018-04-01,59214.1
"25","Manufacturing","Hungary",2018-04-01,5687.4
"26","Manufacturing","Italy",2018-04-01,60921.2
"27","Manufacturing","Lithuania",2018-04-01,1475.9
"28","Manufacturing","Luxembourg",2018-04-01,536.6
"29","Manufacturing","Latvia",2018-04-01,454.5
"30","Construction","Switzerland",2018-04-01,4866.4
"31","Construction","Cyprus",2018-04-01,229.6
"32","Construction","Czechia",2018-04-01,1724.7
"33","Construction","Finland",2018-04-01,2643.1
"34","Construction","France",2018-04-01,19639.3
"35","Construction","Italy",2018-04-01,14450.3
"36","Construction","Lithuania",2018-04-01,471.7
"37","Construction","Luxembourg",2018-04-01,543.4
"38","Construction","Latvia",2018-04-01,228.3
"39","Wholesale and retail trade, transport, accomodation and food service activities","Switzerland",2018-04-01,22234.3
"40","Wholesale and retail trade, transport, accomodation and food service activities","Cyprus",2018-04-01,1065.1
"41","Wholesale and retail trade, transport, accomodation and food service activities","Czechia",2018-04-01,6551.5
"42","Wholesale and retail trade, transport, accomodation and food service activities","Finland",2018-04-01,6917.7
"43","Wholesale and retail trade, transport, accomodation and food service activities","France",2018-04-01,85226.8
"44","Wholesale and retail trade, transport, accomodation and food service activities","Italy",2018-04-01,73136.6
"45","Wholesale and retail trade, transport, accomodation and food service activities","Lithuania",2018-04-01,2131.9
"46","Wholesale and retail trade, transport, accomodation and food service activities","Luxembourg",2018-04-01,1507.7
"47","Wholesale and retail trade, transport, accomodation and food service activities","Latvia",2018-04-01,1168.2
