geo,ind,value,year
Центральный федеральный округ,"Сельское хозяйство, охота и лесное хозяйство",3.4,2004
Центральный федеральный округ,"Рыболовство, рыбоводство",0,2004
Центральный федеральный округ,Добыча полезных ископаемых,1,2004
Центральный федеральный округ,Обрабатывающие производства,19,2004
Центральный федеральный округ,"Производство и распределение электроэнергии, газа и воды",4,2004
Центральный федеральный округ,Строительство,5,2004
Центральный федеральный округ,"Оптовая  и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",31.8,2004
Центральный федеральный округ,Гостиницы и рестораны,1.3,2004
Центральный федеральный округ,Транспорт и связь,9.4,2004
Центральный федеральный округ,Финансовая деятельность,2.8,2004
Центральный федеральный округ,"Операции с недвижимым имуществом, аренда и предоставление услуг",12,2004
Центральный федеральный округ,Государственное управление и обеспечение военной безопасности; обязательное социальное страхование,2.6,2004
Центральный федеральный округ,Образование,2.3,2004
Центральный федеральный округ,Здравоохранение и предоставление социальных услуг,2.8,2004
Центральный федеральный округ,"Предоставление прочих коммунальных, социальных и персональных услуг",2.6,2004
Белгородская область,"Сельское хозяйство, охота и лесное хозяйство",12.4,2004
Белгородская область,"Рыболовство, рыбоводство",0,2004
Белгородская область,Добыча полезных ископаемых,21.1,2004
Белгородская область,Обрабатывающие производства,23,2004
Белгородская область,"Производство и распределение электроэнергии, газа и воды",2.8,2004
Белгородская область,Строительство,4.8,2004
Белгородская область,"Оптовая  и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",14,2004
Белгородская область,Гостиницы и рестораны,0.4,2004
Белгородская область,Транспорт и связь,6.8,2004
Белгородская область,Финансовая деятельность,0,2004
Белгородская область,"Операции с недвижимым имуществом, аренда и предоставление услуг",4.4,2004
Белгородская область,Государственное управление и обеспечение военной безопасности; обязательное социальное страхование,2.9,2004
Белгородская область,Образование,3,2004
Белгородская область,Здравоохранение и предоставление социальных услуг,3.2,2004
Белгородская область,"Предоставление прочих коммунальных, социальных и персональных услуг",1.2,2004
Брянская область,"Сельское хозяйство, охота и лесное хозяйство",15.7,2004
Брянская область,"Рыболовство, рыбоводство",0,2004
Брянская область,Добыча полезных ископаемых,0.2,2004
Брянская область,Обрабатывающие производства,17.9,2004
Брянская область,"Производство и распределение электроэнергии, газа и воды",4.5,2004
Брянская область,Строительство,3.4,2004
Брянская область,"Оптовая  и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",16.9,2004
Брянская область,Гостиницы и рестораны,0.9,2004
Брянская область,Транспорт и связь,15.9,2004
Брянская область,Финансовая деятельность,0,2004
Брянская область,"Операции с недвижимым имуществом, аренда и предоставление услуг",6.6,2004
Брянская область,Государственное управление и обеспечение военной безопасности; обязательное социальное страхование,6.4,2004
Брянская область,Образование,5.1,2004
Брянская область,Здравоохранение и предоставление социальных услуг,5.5,2004
Брянская область,"Предоставление прочих коммунальных, социальных и персональных услуг",1,2004
Владимирская область,"Сельское хозяйство, охота и лесное хозяйство",10.2,2004
Владимирская область,"Рыболовство, рыбоводство",0,2004
Владимирская область,Добыча полезных ископаемых,0.5,2004
Владимирская область,Обрабатывающие производства,33.2,2004
Владимирская область,"Производство и распределение электроэнергии, газа и воды",4.9,2004
Владимирская область,Строительство,5.1,2004
Владимирская область,"Оптовая  и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",11.4,2004
Владимирская область,Гостиницы и рестораны,0.8,2004
Владимирская область,Транспорт и связь,11.6,2004
Владимирская область,Финансовая деятельность,2.6,2004
Владимирская область,"Операции с недвижимым имуществом, аренда и предоставление услуг",5.7,2004
Владимирская область,Государственное управление и обеспечение военной безопасности; обязательное социальное страхование,4.4,2004
Владимирская область,Образование,3.7,2004
Владимирская область,Здравоохранение и предоставление социальных услуг,4.4,2004
Владимирская область,"Предоставление прочих коммунальных, социальных и персональных услуг",1.5,2004
Воронежская область,"Сельское хозяйство, охота и лесное хозяйство",11.7,2004
