0,АЛТКB,АЛТКD,АМУРB,АМУРD,АРХАB,АРХАD,АСТРB,АСТРD,БЕЛГB,БЕЛГD,БРЯНB,БРЯНD,ВЛАДB,ВЛАДD,ВОЛГB,ВОЛГD,ВОЛОB,ВОЛОD,ВОРОB,ВОРОD,МОСГB,МОСГD,САНКB,САНКD,СЕВАB,СЕВАD,ЕВРЕB,ЕВРЕD,ЗАБАB,ЗАБАD,ИВАНB,ИВАНD,ИРКУB,ИРКУD,КАБАB,КАБАD,КАЛИB,КАЛИD,КАЛУB,КАЛУD,КАМЧB,КАМЧD,КАРАB,КАРАD,КЕМЕB,КЕМЕD,КИРОB,КИРОD,КОСТB,КОСТD,КРАСB,КРАСD,КРАЯB,КРАЯD,КУРГB,КУРГD,КУРСB,КУРСD,ЛЕНИB,ЛЕНИD,ЛИПЕB,ЛИПЕD,МАГАB,МАГАD,МОСКB,МОСКD,МУРМB,МУРМD,НИЖЕB,НИЖЕD,НОВГB,НОВГD,НОВОB,НОВОD,ОМСКB,ОМСКD,ОРЕНB,ОРЕНD,ОРЛОB,ОРЛОD,ПЕНЗB,ПЕНЗD,ПЕРМB,ПЕРМD,ПРИМB,ПРИМD,ПСКОB,ПСКОD,АДЫГB,АДЫГD,АЛТАB,АЛТАD,БАШКB,БАШКD,БУРЯB,БУРЯD,ДАГЕB,ДАГЕD,ИНГУB,ИНГУD,КАЛМB,КАЛМD,КАРЕB,КАРЕD,КОМИB,КОМИD,КРЫМB,КРЫМD,МАРИB,МАРИD,МОРДB,МОРДD,ЯКУТB,ЯКУТD,СЕВЕB,СЕВЕD,ТАТАB,ТАТАD,ТЫВАB,ТЫВАD,ХАКАB,ХАКАD,РОСТB,РОСТD,РЯЗАB,РЯЗАD,САМАB,САМАD,САРАB,САРАD,САХАB,САХАD,СВЕРB,СВЕРD,СМОЛB,СМОЛD,СТАВB,СТАВD,ТАМБB,ТАМБD,ТВЕРB,ТВЕРD,ТОМСB,ТОМСD,ТУЛЬB,ТУЛЬD,ТЮМЕB,ТЮМЕD,УДМУB,УДМУD,УЛЬЯB,УЛЬЯD,ХАБАB,ХАБАD,ЧЕЛЯB,ЧЕЛЯD,ЧЕЧЕB,ЧЕЧЕD,ЧУВАB,ЧУВАD,ЧУКОB,ЧУКОD,ЯРОСB,ЯРОСD
2006-01-01,1922.0,-3798.0,816.0,-1467.0,1136.0,-1937.0,945.0,-1485.0,1040.0,-2163.0,904.0,-2534.0,1040.0,-2710.0,1959.0,-3736.0,1015.0,-1982.0,1301.0,-3827.0,6728.0,-11814.0,2924.0,-6696.0,,,176.0,-330.0,1218.0,-1743.0,714.0,-2188.0,2218.0,-3654.0,714.0,-763.0,715.0,-1716.0,756.0,-1741.0,299.0,-396.0,402.0,-394.0,2308.0,-5056.0,1091.0,-2598.0,553.0,-1328.0,4162.0,-7353.0,2401.0,-3939.0,751.0,-1622.0,790.0,-2278.0,1006.0,-2978.0,787.0,-1884.0,145.0,-212.0,4588.0,-10666.0,715.0,-1075.0,2323.0,-6240.0,447.0,-1376.0,1982.0,-3752.0,1490.0,-2853.0,1583.0,-2888.0,622.0,-1551.0,934.0,-2310.0,2309.0,-4591.0,1613.0,-3012.0,507.0,-1717.0,362.0,-601.0,249.0,-268.0,3405.0,-5221.0,1091.0,-1286.0,2795.0,-1078.0,519.0,-104.0,313.0,-333.0,529.0,-1122.0,813.0,-1371.0,,,582.0,-1077.0,584.0,-1341.0,961.0,-874.0,681.0,-672.0,2673.0,-4627.0,424.0,-351.0,509.0,-814.0,3054.0,-6344.0,812.0,-2076.0,2218.0,-4787.0,1670.0,-3924.0,448.0,-871.0,3363.0,-6666.0,699.0,-2047.0,2099.0,-3855.0,728.0,-2162.0,1010.0,-3053.0,868.0,-1336.0,977.0,-3214.0,2993.0,-2803.0,1348.0,-2285.0,873.0,-2120.0,1191.0,-2102.0,2557.0,-5369.0,1938.0,-409.0,1043.0,-1820.0,44.0,-42.0,950.0,-2280.0
2006-02-01,1917.0,-3161.0,767.0,-1137.0,1045.0,-1695.0,975.0,-1273.0,1094.0,-1976.0,989.0,-2108.0,1059.0,-2409.0,2033.0,-3480.0,965.0,-1772.0,1479.0,-3669.0,6946.0,-10291.0,2913.0,-5723.0,,,169.0,-257.0,1144.0,-1374.0,799.0,-1856.0,2301.0,-3271.0,721.0,-836.0,654.0,-1389.0,712.0,-1578.0,321.0,-312.0,370.0,-498.0,2505.0,-4055.0,1138.0,-2183.0,491.0,-1170.0,3962.0,-6508.0,2452.0,-3380.0,877.0,-1386.0,807.0,-1940.0,1041.0,-2573.0,877.0,-1791.0,141.0,-183.0,4574.0,-8950.0,669.0,-812.0,2324.0,-5277.0,512.0,-1268.0,2189.0,-3313.0,1612.0,-2588.0,1892.0,-2673.0,587.0,-1271.0,910.0,-2183.0,2361.0,-3681.0,1571.0,-2483.0,506.0,-1466.0,315.0,-558.0,266.0,-203.0,3459.0,-4379.0,1137.0,-1202.0,3204.0,-1394.0,674.0,-173.0,281.0,-257.0,543.0,-968.0,857.0,-1111.0,,,569.0,-940.0,561.0,-1225.0,1078.0,-718.0,664.0,-732.0,2828.0,-3912.0,467.0,-350.0,468.0,-622.0,3074.0,-5969.0,767.0,-2037.0,2422.0,-3988.0,1782.0,-3307.0,419.0,-620.0,3738.0,-5686.0,674.0,-1736.0,2061.0,-3415.0,693.0,-1828.0,1049.0,-2571.0,882.0,-1171.0,969.0,-2769.0,3585.0,-2598.0,1498.0,-1775.0,892.0,-1941.0,1162.0,-1622.0,3070.0,-4474.0,2505.0,-616.0,1034.0,-1468.0,77.0,-60.0,974.0,-2014.0
2006-03-01,2293.0,-3315.0,899.0,-1255.0,1260.0,-1896.0,1047.0,-1330.0,1190.0,-2036.0,1039.0,-2316.0,1236.0,-2590.0,2171.0,-3909.0,1178.0,-1977.0,1689.0,-3792.0,8270.0,-11545.0,3792.0,-6338.0,,,215.0,-255.0,1395.0,-1687.0,829.0,-2020.0,2724.0,-3358.0,746.0,-842.0,814.0,-1509.0,852.0,-1553.0,379.0,-326.0,495.0,-476.0,2919.0,-4148.0,1169.0,-2393.0,583.0,-1205.0,4564.0,-6929.0,2831.0,-3679.0,896.0,-1484.0,899.0,-2033.0,1127.0,-2858.0,970.0,-1800.0,157.0,-202.0,5399.0,-9985.0,743.0,-1019.0,2530.0,-5638.0,613.0,-1312.0,2380.0,-3435.0,1817.0,-2590.0,2076.0,-2885.0,681.0,-1492.0,1036.0,-2263.0,2620.0,-3801.0,1863.0,-2845.0,535.0,-1652.0,380.0,-652.0,295.0,-265.0,4004.0,-4828.0,1251.0,-1237.0,3303.0,-1628.0,632.0,-209.0,345.0,-329.0,598.0,-1102.0,1015.0,-1246.0,,,650.0,-954.0,644.0,-1334.0,1252.0,-747.0,689.0,-795.0,3207.0,-4253.0,471.0,-321.0,600.0,-742.0,3403.0,-6383.0,856.0,-2033.0,2752.0,-4207.0,2103.0,-3819.0,507.0,-699.0,4098.0,-5710.0,793.0,-1924.0,2342.0,-3500.0,862.0,-1837.0,1199.0,-2916.0,982.0,-1174.0,1097.0,-2909.0,3715.0,-2634.0,1551.0,-1820.0,1038.0,-1840.0,1369.0,-1855.0,3368.0,-4754.0,2568.0,-578.0,1143.0,-1665.0,60.0,-47.0,1115.0,-2167.0
2006-04-01,1921.0,-3122.0,825.0,-1124.0,1133.0,-1575.0,870.0,-1160.0,1044.0,-1812.0,936.0,-2069.0,1063.0,-2180.0,1910.0,-3218.0,1102.0,-1808.0,1513.0,-3308.0,7357.0,-9951.0,3087.0,-5618.0,,,141.0,-256.0,1208.0,-1399.0,806.0,-1783.0,2518.0,-3012.0,672.0,-717.0,696.0,-1351.0,668.0,-1448.0,296.0,-286.0,376.0,-394.0,2399.0,-3853.0,1093.0,-2014.0,525.0,-1079.0,3731.0,-5900.0,2441.0,-3250.0,770.0,-1240.0,813.0,-1823.0,972.0,-2484.0,870.0,-1604.0,151.0,-162.0,4507.0,-8782.0,655.0,-919.0,2308.0,-5133.0,529.0,-1248.0,2207.0,-3118.0,1618.0,-2375.0,1716.0,-2590.0,585.0,-1215.0,913.0,-1941.0,2428.0,-3563.0,1574.0,-2338.0,486.0,-1384.0,351.0,-560.0,302.0,-225.0,3491.0,-4463.0,1101.0,-1118.0,3074.0,-1390.0,549.0,-137.0,263.0,-245.0,596.0,-962.0,890.0,-1163.0,,,585.0,-923.0,596.0,-1137.0,1103.0,-681.0,538.0,-619.0,2851.0,-3943.0,474.0,-293.0,514.0,-698.0,3007.0,-5274.0,762.0,-1757.0,2391.0,-3946.0,1779.0,-3278.0,479.0,-675.0,3703.0,-5206.0,680.0,-1724.0,2045.0,-3084.0,712.0,-1749.0,992.0,-2485.0,833.0,-1109.0,1036.0,-2655.0,3630.0,-2499.0,1343.0,-1699.0,822.0,-1810.0,1209.0,-1655.0,3052.0,-4227.0,2189.0,-433.0,1052.0,-1550.0,53.0,-35.0,912.0,-1968.0
2006-05-01,2137.0,-3531.0,859.0,-1239.0,1201.0,-1839.0,1045.0,-1326.0,1228.0,-2147.0,1072.0,-2176.0,1226.0,-2581.0,2211.0,-3670.0,1217.0,-1945.0,1729.0,-3862.0,7999.0,-10817.0,3286.0,-6223.0,,,168.0,-249.0,1398.0,-1622.0,840.0,-1929.0,2605.0,-3355.0,755.0,-784.0,778.0,-1329.0,812.0,-1600.0,308.0,-354.0,436.0,-413.0,2649.0,-4260.0,1207.0,-2308.0,627.0,-1250.0,4123.0,-6646.0,2823.0,-3625.0,894.0,-1472.0,927.0,-1985.0,1187.0,-2827.0,989.0,-1893.0,188.0,-217.0,5271.0,-9962.0,720.0,-933.0,2669.0,-5744.0,545.0,-1268.0,2340.0,-3587.0,1851.0,-2670.0,1907.0,-2904.0,670.0,-1347.0,1042.0,-2098.0,2518.0,-4048.0,1733.0,-2643.0,607.0,-1439.0,361.0,-602.0,273.0,-277.0,3737.0,-5053.0,1225.0,-1302.0,3140.0,-1350.0,641.0,-171.0,361.0,-343.0,575.0,-1095.0,955.0,-1258.0,,,621.0,-1068.0,532.0,-1189.0,1189.0,-814.0,652.0,-746.0,3183.0,-4352.0,552.0,-331.0,564.0,-720.0,3385.0,-5981.0,882.0,-2036.0,2654.0,-4555.0,1915.0,-3708.0,503.0,-716.0,4097.0,-6078.0,736.0,-1958.0,2210.0,-3449.0,789.0,-1791.0,1171.0,-2759.0,984.0,-1349.0,1075.0,-2873.0,3855.0,-2715.0,1462.0,-2028.0,1033.0,-1973.0,1233.0,-1986.0,3181.0,-4721.0,2260.0,-453.0,1166.0,-1643.0,57.0,-57.0,1094.0,-2191.0
2006-06-01,2176.0,-3290.0,928.0,-1071.0,1147.0,-1728.0,1011.0,-1110.0,1249.0,-1961.0,961.0,-1955.0,1144.0,-2318.0,2132.0,-3221.0,1152.0,-1841.0,1555.0,-3327.0,8208.0,-10427.0,3656.0,-5930.0,,,182.0,-216.0,1332.0,-1422.0,847.0,-1839.0,2738.0,-3142.0,748.0,-723.0,702.0,-1253.0,751.0,-1531.0,310.0,-367.0,416.0,-407.0,2813.0,-4026.0,1170.0,-2089.0,635.0,-1095.0,4162.0,-5815.0,2613.0,-3407.0,885.0,-1243.0,936.0,-1759.0,1051.0,-2700.0,945.0,-1649.0,134.0,-182.0,5278.0,-9742.0,724.0,-919.0,2681.0,-5463.0,543.0,-1178.0,2329.0,-3419.0,1833.0,-2523.0,1938.0,-2619.0,632.0,-1145.0,1030.0,-1986.0,2618.0,-3611.0,1699.0,-2430.0,547.0,-1443.0,372.0,-535.0,297.0,-231.0,3773.0,-4488.0,1149.0,-1174.0,3021.0,-1204.0,545.0,-170.0,352.0,-246.0,595.0,-971.0,870.0,-1105.0,,,644.0,-903.0,648.0,-1058.0,1131.0,-755.0,709.0,-680.0,3010.0,-4091.0,519.0,-320.0,494.0,-726.0,3368.0,-5376.0,846.0,-1812.0,2844.0,-4128.0,2122.0,-3348.0,490.0,-679.0,3871.0,-5508.0,795.0,-1723.0,2215.0,-2989.0,821.0,-1616.0,1137.0,-2551.0,943.0,-1169.0,1040.0,-2765.0,3817.0,-2721.0,1393.0,-1880.0,1023.0,-1763.0,1239.0,-1656.0,3086.0,-4279.0,2232.0,-460.0,1170.0,-1549.0,59.0,-35.0,1057.0,-1998.0
2006-07-01,2196.0,-2929.0,883.0,-1015.0,1334.0,-1539.0,992.0,-1233.0,1224.0,-1828.0,1058.0,-1816.0,1221.0,-2190.0,2136.0,-3225.0,1073.0,-1657.0,1620.0,-3273.0,8087.0,-9661.0,3428.0,-5453.0,,,218.0,-239.0,1358.0,-1382.0,859.0,-1642.0,2601.0,-3029.0,798.0,-649.0,789.0,-1206.0,773.0,-1326.0,332.0,-289.0,395.0,-348.0,2685.0,-3958.0,1262.0,-1931.0,640.0,-1037.0,4448.0,-5470.0,2720.0,-3164.0,912.0,-1240.0,934.0,-1702.0,1175.0,-2444.0,967.0,-1654.0,163.0,-202.0,5321.0,-8914.0,681.0,-773.0,2725.0,-5003.0,574.0,-1055.0,2381.0,-3106.0,1902.0,-2385.0,2032.0,-2466.0,611.0,-1094.0,1007.0,-1785.0,2652.0,-3653.0,1692.0,-2424.0,512.0,-1268.0,393.0,-480.0,282.0,-236.0,3755.0,-4412.0,1169.0,-1129.0,3279.0,-1167.0,588.0,-158.0,333.0,-240.0,615.0,-852.0,913.0,-1034.0,,,632.0,-909.0,626.0,-1077.0,1185.0,-828.0,710.0,-618.0,3349.0,-4005.0,515.0,-284.0,576.0,-626.0,3382.0,-4882.0,846.0,-1661.0,2659.0,-3957.0,2050.0,-3138.0,504.0,-617.0,4104.0,-5256.0,717.0,-1475.0,2319.0,-2752.0,811.0,-1538.0,1145.0,-2245.0,993.0,-1070.0,1082.0,-2477.0,3638.0,-2371.0,1540.0,-1803.0,1016.0,-1682.0,1276.0,-1599.0,3062.0,-4317.0,2192.0,-450.0,1132.0,-1453.0,86.0,-58.0,1082.0,-1890.0
2006-08-01,2433.0,-3072.0,1014.0,-1114.0,1297.0,-1670.0,1268.0,-1219.0,1389.0,-1823.0,1121.0,-1865.0,1333.0,-2264.0,2502.0,-3313.0,1294.0,-1673.0,1897.0,-3260.0,8864.0,-10071.0,3627.0,-5415.0,,,225.0,-226.0,1389.0,-1316.0,865.0,-1688.0,2951.0,-3187.0,944.0,-748.0,913.0,-1163.0,919.0,-1394.0,340.0,-341.0,451.0,-442.0,3027.0,-4080.0,1272.0,-1973.0,638.0,-1028.0,5471.0,-7075.0,3028.0,-3378.0,971.0,-1274.0,1011.0,-1787.0,1205.0,-2548.0,1054.0,-1598.0,147.0,-182.0,5683.0,-9283.0,752.0,-960.0,2963.0,-5203.0,625.0,-1062.0,2677.0,-3363.0,1979.0,-2401.0,2230.0,-2543.0,717.0,-1051.0,1083.0,-1879.0,2824.0,-3658.0,2141.0,-2569.0,593.0,-1244.0,483.0,-603.0,300.0,-248.0,4327.0,-4755.0,1249.0,-1142.0,3873.0,-1392.0,635.0,-136.0,344.0,-258.0,627.0,-942.0,1020.0,-1198.0,,,730.0,-877.0,729.0,-1214.0,1178.0,-820.0,875.0,-649.0,3421.0,-4087.0,549.0,-341.0,583.0,-589.0,4133.0,-5877.0,969.0,-1880.0,3147.0,-4122.0,2383.0,-3281.0,557.0,-629.0,4578.0,-5519.0,795.0,-1557.0,2630.0,-3450.0,840.0,-1519.0,1155.0,-2352.0,1073.0,-1105.0,1181.0,-2615.0,3734.0,-2494.0,1667.0,-1760.0,1058.0,-1775.0,1513.0,-1716.0,3607.0,-4511.0,2729.0,-532.0,1211.0,-1467.0,58.0,-31.0,1160.0,-1981.0
2006-09-01,2108.0,-3035.0,841.0,-1021.0,1106.0,-1520.0,1056.0,-1040.0,1157.0,-1683.0,989.0,-1808.0,1177.0,-2165.0,2254.0,-2866.0,1118.0,-1586.0,1554.0,-3050.0,7714.0,-10277.0,3374.0,-5269.0,,,196.0,-226.0,1262.0,-1345.0,812.0,-1683.0,2545.0,-2977.0,823.0,-609.0,709.0,-1087.0,770.0,-1357.0,289.0,-312.0,440.0,-368.0,2691.0,-3934.0,1088.0,-1792.0,610.0,-968.0,4638.0,-5385.0,2624.0,-3139.0,831.0,-1150.0,841.0,-1616.0,1067.0,-2474.0,936.0,-1507.0,149.0,-169.0,5029.0,-8759.0,762.0,-891.0,2551.0,-5003.0,549.0,-1033.0,2486.0,-3243.0,1828.0,-2335.0,1931.0,-2310.0,625.0,-1092.0,1032.0,-1764.0,2377.0,-3478.0,1781.0,-2189.0,529.0,-1227.0,404.0,-493.0,290.0,-210.0,3553.0,-4238.0,1194.0,-1015.0,4035.0,-1275.0,624.0,-135.0,304.0,-211.0,535.0,-929.0,881.0,-1017.0,,,626.0,-851.0,667.0,-966.0,1111.0,-787.0,716.0,-611.0,3120.0,-3820.0,459.0,-310.0,537.0,-577.0,3474.0,-4775.0,854.0,-1739.0,2544.0,-3797.0,1916.0,-2922.0,510.0,-546.0,3753.0,-5301.0,721.0,-1519.0,2250.0,-2830.0,749.0,-1456.0,1182.0,-2342.0,935.0,-1144.0,1056.0,-2580.0,4044.0,-2553.0,1383.0,-1653.0,956.0,-1614.0,1396.0,-1619.0,3166.0,-4202.0,2574.0,-532.0,1138.0,-1435.0,64.0,-42.0,980.0,-1805.0
2006-10-01,2301.0,-3172.0,913.0,-1129.0,1204.0,-1751.0,1123.0,-1124.0,1263.0,-1910.0,1061.0,-2009.0,1226.0,-2507.0,2350.0,-3194.0,1086.0,-1654.0,1656.0,-3625.0,8200.0,-10939.0,3392.0,-6141.0,,,191.0,-264.0,1422.0,-1461.0,860.0,-1854.0,2738.0,-3161.0,834.0,-720.0,817.0,-1298.0,782.0,-1476.0,368.0,-325.0,458.0,-367.0,2729.0,-4082.0,1218.0,-2216.0,667.0,-1134.0,4825.0,-5923.0,2763.0,-3233.0,856.0,-1347.0,919.0,-1943.0,1149.0,-2683.0,992.0,-1789.0,180.0,-202.0,5277.0,-9725.0,733.0,-931.0,2821.0,-5674.0,553.0,-1141.0,2480.0,-3383.0,1849.0,-2537.0,2041.0,-2652.0,629.0,-1216.0,1138.0,-2009.0,2734.0,-3899.0,1819.0,-2391.0,535.0,-1316.0,448.0,-568.0,286.0,-224.0,4030.0,-4770.0,1364.0,-1178.0,3429.0,-1081.0,529.0,-111.0,334.0,-300.0,602.0,-1018.0,921.0,-1088.0,,,678.0,-1002.0,659.0,-1185.0,1275.0,-795.0,807.0,-636.0,3397.0,-4250.0,592.0,-313.0,610.0,-661.0,3757.0,-5185.0,899.0,-1926.0,2832.0,-4421.0,2066.0,-3363.0,547.0,-637.0,4252.0,-5657.0,804.0,-1720.0,2511.0,-3055.0,818.0,-1771.0,1151.0,-2549.0,1063.0,-1170.0,1127.0,-2967.0,3939.0,-2646.0,1547.0,-1815.0,1004.0,-1819.0,1372.0,-1795.0,3419.0,-4710.0,2203.0,-363.0,1179.0,-1777.0,64.0,-48.0,1090.0,-2156.0
