,        Белгородская область,        Брянская область,        Владимирская область,        Воронежская область,        Ивановская область,        Калужская область,        Костромская область,        Курская область,        Липецкая область,        Московская область,        Орловская область,        Рязанская область,        Смоленская область,        Тамбовская область,        Тверская область,        Тульская область,        Ярославская область,        Город Москва столица Российской Федерации город федерального значения,        Республика Карелия,        Республика Коми,        Архангельская область,        Вологодская область,        Калининградская область,        Ленинградская область,        Мурманская область,        Новгородская область,        Псковская область,        Город Санкт-Петербург город федерального значения,        Республика Адыгея (Адыгея),        Республика Калмыкия,        Республика Крым,        Краснодарский край,        Астраханская область,        Волгоградская область,        Ростовская область,        Город федерального значения Севастополь,        Республика Дагестан,        Республика Ингушетия*,        Кабардино-Балкарская Республика,        Карачаево-Черкесская Республика,        Республика Северная Осетия-Алания,        Чеченская Республика*,        Ставропольский край,        Республика Башкортостан,        Республика Марий Эл,        Республика Мордовия,        Республика Татарстан (Татарстан),        Удмуртская Республика,        Чувашская Республика - Чувашия,        Пермский край,        Кировская область,        Нижегородская область,        Оренбургская область,        Пензенская область,        Самарская область,        Саратовская область,        Ульяновская область,        Курганская область,        Свердловская область,        Тюменская область,        Челябинская область,        Республика Алтай,        Республика Бурятия,        Республика Тыва,        Республика Хакасия,        Алтайский край,        Забайкальский край,        Красноярский край,        Иркутская область,        Кемеровская область,        Новосибирская область,        Омская область,        Томская область,        Республика Саха (Якутия),        Камчатский край,        Приморский край,        Хабаровский край,        Амурская область,        Магаданская область,        Сахалинская область,        Еврейская автономная область,        Чукотский автономный округ
2006-Jan,1040,904,1040,1301,714,756,553,790,787,4588,622,812,699,728,1010,977,950,6728,529,813,1136,1015,715,1006,715,447,507,2924,362,313,,4162,945,1959,3054,,2795,519,714,402,681,1938,2099,3405,582,584,2673,1348,1043,2309,1091,2323,1583,934,2218,1670,873,751,3363,2993,2557,249,1091,424,509,1922,1218,2401,2218,2308,1982,1490,868,961,299,1613,1191,816,145,448,176,44
2006-Feb,1094,989,1059,1479,799,712,491,807,877,4574,587,767,674,693,1049,969,974,6946,543,857,1045,965,654,1041,669,512,506,2913,315,281,,3962,975,2033,3074,,3204,674,721,370,664,2505,2061,3459,569,561,2828,1498,1034,2361,1138,2324,1892,910,2422,1782,892,877,3738,3585,3070,266,1137,467,468,1917,1144,2452,2301,2505,2189,1612,882,1078,321,1571,1162,767,141,419,169,77
2006-Mar,1190,1039,1236,1689,829,852,583,899,970,5399,681,856,793,862,1199,1097,1115,8270,598,1015,1260,1178,814,1127,743,613,535,3792,380,345,,4564,1047,2171,3403,,3303,632,746,495,689,2568,2342,4004,650,644,3207,1551,1143,2620,1169,2530,2076,1036,2752,2103,1038,896,4098,3715,3368,295,1251,471,600,2293,1395,2831,2724,2919,2380,1817,982,1252,379,1863,1369,899,157,507,215,60
2006-Apr,1044,936,1063,1513,806,668,525,813,870,4507,585,762,680,712,992,1036,912,7357,596,890,1133,1102,696,972,655,529,486,3087,351,263,,3731,870,1910,3007,,3074,549,672,376,538,2189,2045,3491,585,596,2851,1343,1052,2428,1093,2308,1716,913,2391,1779,822,770,3703,3630,3052,302,1101,474,514,1921,1208,2441,2518,2399,2207,1618,833,1103,296,1574,1209,825,151,479,141,53
2006-May,1228,1072,1226,1729,840,812,627,927,989,5271,670,882,736,789,1171,1075,1094,7999,575,955,1201,1217,778,1187,720,545,607,3286,361,361,,4123,1045,2211,3385,,3140,641,755,436,652,2260,2210,3737,621,532,3183,1462,1166,2518,1207,2669,1907,1042,2654,1915,1033,894,4097,3855,3181,273,1225,552,564,2137,1398,2823,2605,2649,2340,1851,984,1189,308,1733,1233,859,188,503,168,57
2006-Jun,1249,961,1144,1555,847,751,635,936,945,5278,632,846,795,821,1137,1040,1057,8208,595,870,1147,1152,702,1051,724,543,547,3656,372,352,,4162,1011,2132,3368,,3021,545,748,416,709,2232,2215,3773,644,648,3010,1393,1170,2618,1170,2681,1938,1030,2844,2122,1023,885,3871,3817,3086,297,1149,519,494,2176,1332,2613,2738,2813,2329,1833,943,1131,310,1699,1239,928,134,490,182,59
2006-Jul,1224,1058,1221,1620,859,773,640,934,967,5321,611,846,717,811,1145,1082,1082,8087,615,913,1334,1073,789,1175,681,574,512,3428,393,333,,4448,992,2136,3382,,3279,588,798,395,710,2192,2319,3755,632,626,3349,1540,1132,2652,1262,2725,2032,1007,2659,2050,1016,912,4104,3638,3062,282,1169,515,576,2196,1358,2720,2601,2685,2381,1902,993,1185,332,1692,1276,883,163,504,218,86
2006-Aug,1389,1121,1333,1897,865,919,638,1011,1054,5683,717,969,795,840,1155,1181,1160,8864,627,1020,1297,1294,913,1205,752,625,593,3627,483,344,,5471,1268,2502,4133,,3873,635,944,451,875,2729,2630,4327,730,729,3421,1667,1211,2824,1272,2963,2230,1083,3147,2383,1058,971,4578,3734,3607,300,1249,549,583,2433,1389,3028,2951,3027,2677,1979,1073,1178,340,2141,1513,1014,147,557,225,58
2006-Sep,1157,989,1177,1554,812,770,610,841,936,5029,625,854,721,749,1182,1056,980,7714,535,881,1106,1118,709,1067,762,549,529,3374,404,304,,4638,1056,2254,3474,,4035,624,823,440,716,2574,2250,3553,626,667,3120,1383,1138,2377,1088,2551,1931,1032,2544,1916,956,831,3753,4044,3166,290,1194,459,537,2108,1262,2624,2545,2691,2486,1828,935,1111,289,1781,1396,841,149,510,196,64
2006-Oct,1263,1061,1226,1656,860,782,667,919,992,5277,629,899,804,818,1151,1127,1090,8200,602,921,1204,1086,817,1149,733,553,535,3392,448,334,,4825,1123,2350,3757,,3429,529,834,458,807,2203,2511,4030,678,659,3397,1547,1179,2734,1218,2821,2041,1138,2832,2066,1004,856,4252,3939,3419,286,1364,592,610,2301,1422,2763,2738,2729,2480,1849,1063,1275,368,1819,1372,913,180,547,191,64
