,        Белгородская область,        Брянская область,        Владимирская область,        Воронежская область,        Ивановская область,        Калужская область,        Костромская область,        Курская область,        Липецкая область,        Московская область,        Орловская область,        Рязанская область,        Смоленская область,        Тамбовская область,        Тверская область,        Тульская область,        Ярославская область,        Город Москва столица Российской Федерации город федерального значения,        Республика Карелия,        Республика Коми,        Архангельская область,        Вологодская область,        Калининградская область,        Ленинградская область,        Мурманская область,        Новгородская область,        Псковская область,        Город Санкт-Петербург город федерального значения,        Республика Адыгея (Адыгея),        Республика Калмыкия,        Республика Крым,        Краснодарский край,        Астраханская область,        Волгоградская область,        Ростовская область,        Город федерального значения Севастополь,        Республика Дагестан,        Республика Ингушетия*,        Кабардино-Балкарская Республика,        Карачаево-Черкесская Республика,        Республика Северная Осетия-Алания,        Чеченская Республика*,        Ставропольский край,        Республика Башкортостан,        Республика Марий Эл,        Республика Мордовия,        Республика Татарстан (Татарстан),        Удмуртская Республика,        Чувашская Республика - Чувашия,        Пермский край,        Кировская область,        Нижегородская область,        Оренбургская область,        Пензенская область,        Самарская область,        Саратовская область,        Ульяновская область,        Курганская область,        Свердловская область,        Тюменская область,        Челябинская область,        Республика Алтай,        Республика Бурятия,        Республика Тыва,        Республика Хакасия,        Алтайский край,        Забайкальский край,        Красноярский край,        Иркутская область,        Кемеровская область,        Новосибирская область,        Омская область,        Томская область,        Республика Саха (Якутия),        Камчатский край,        Приморский край,        Хабаровский край,        Амурская область,        Магаданская область,        Сахалинская область,        Еврейская автономная область,        Чукотский автономный округ
2006-Jan,14,14,7,13,11,9,12,10,10,34,10,11,7,12,8,6,5,61,3,9,18,9,3,16,10,7,9,14,5,4,,40,11,23,42,,37,9,11,2,3,28,32,42,5,4,26,18,12,30,13,34,17,12,17,20,12,10,35,20,30,2,22,5,14,36,9,36,34,34,27,20,14,12,3,21,19,25,4,13,3,1
2006-Feb,8,4,14,12,11,12,13,11,7,56,7,9,4,9,14,8,11,58,5,4,9,9,5,6,6,7,4,13,0,2,,29,14,22,41,,53,30,19,5,9,51,30,43,8,2,29,15,10,32,5,33,27,10,26,26,4,9,29,45,34,1,13,12,11,24,7,37,46,22,25,16,11,15,6,15,13,14,1,6,2,3
2006-Mar,8,9,10,20,7,8,7,16,5,44,9,11,9,11,8,11,12,73,8,12,18,9,8,8,7,9,6,15,3,4,,32,13,26,38,,58,24,11,6,9,25,20,41,8,8,30,13,12,38,12,38,24,15,23,20,6,6,41,30,16,3,13,8,12,27,8,39,48,22,17,18,14,7,3,15,22,8,2,7,1,3
2006-Apr,7,7,8,10,7,8,7,7,8,56,4,13,8,5,11,10,3,58,3,7,14,11,2,9,6,5,11,15,5,7,,40,4,26,38,,34,13,10,3,7,26,28,48,10,5,18,20,9,24,9,29,29,3,24,20,10,10,34,33,36,5,10,4,9,13,15,29,25,17,20,8,7,13,1,17,10,16,3,4,4,2
2006-May,6,6,10,18,7,7,8,8,7,54,6,7,10,8,11,2,5,69,2,5,7,18,3,14,5,1,8,20,2,10,,29,17,24,54,,63,17,11,9,8,35,24,33,7,1,34,15,8,24,8,36,17,9,15,21,8,11,45,23,25,1,16,13,5,27,14,36,29,28,21,14,18,15,3,21,15,18,1,1,4,2
2006-Jun,11,13,6,13,8,8,7,12,5,45,4,6,6,7,15,7,9,60,7,5,9,16,8,6,6,7,9,24,3,3,,23,9,23,48,,56,18,13,6,6,34,21,40,5,3,23,13,8,35,13,22,21,13,21,11,14,13,40,40,27,8,14,11,7,23,17,32,33,33,25,14,15,8,5,24,15,18,2,6,2,1
2006-Jul,13,6,8,9,6,7,12,7,5,39,5,10,5,8,12,8,12,49,2,12,10,11,3,5,7,3,4,18,3,4,,30,8,19,54,,52,12,6,2,2,37,17,40,7,4,22,14,7,27,12,28,8,8,20,12,7,19,31,27,26,8,13,3,9,22,7,48,18,21,18,14,12,10,3,14,12,8,2,9,3,2
2006-Aug,17,5,11,12,8,7,6,10,8,48,6,9,7,5,14,13,12,66,0,3,17,8,2,8,6,6,4,12,5,3,,55,15,26,55,,46,24,16,5,8,36,21,57,8,2,22,15,11,30,11,27,22,13,17,17,7,5,35,25,38,4,9,11,15,25,22,36,28,26,25,19,8,19,4,16,20,19,1,4,2,1
2006-Sep,12,7,4,12,9,5,7,2,8,36,6,9,5,6,13,17,5,52,3,7,11,6,11,7,5,6,9,7,2,4,,39,8,22,35,,57,16,15,7,7,39,24,37,8,3,27,10,8,29,16,25,24,9,24,19,10,19,24,34,27,8,14,4,8,19,20,36,27,29,24,20,14,12,4,11,19,16,4,3,4,1
2006-Oct,3,13,13,18,7,14,9,11,13,38,5,9,10,4,14,13,10,69,9,3,12,7,7,14,11,4,5,14,6,6,,40,11,24,36,,37,19,13,2,5,26,19,38,7,5,30,14,10,30,13,33,12,12,13,17,11,19,40,28,33,5,19,7,3,34,15,25,27,31,21,16,18,6,5,18,17,17,3,10,2,0
2006-Nov,10,6,9,13,4,6,7,3,7,33,7,10,10,5,9,8,9,59,6,3,9,6,6,2,2,11,7,12,2,2,,40,14,27,58,,40,17,11,1,6,38,18,36,6,7,22,20,16,25,13,30,16,14,17,15,9,14,29,29,29,1,10,4,4,21,14,29,26,27,24,10,10,16,5,28,18,13,3,6,1,1
2006-Dec,12,8,7,11,5,8,8,7,9,38,5,11,8,7,7,7,11,62,5,7,8,4,5,8,15,6,9,24,2,4,,35,10,19,39,,61,31,13,5,10,95,19,39,7,5,24,14,9,26,14,25,15,9,17,12,15,8,28,29,23,6,22,7,4,20,10,27,27,36,25,22,13,15,4,22,11,12,1,7,3,0
2007-Jan,6,8,11,11,12,6,4,7,4,31,2,8,12,7,15,7,7,59,4,6,15,10,6,9,10,4,5,10,4,6,,39,10,21,49,,42,11,9,4,9,38,27,33,6,7,23,19,4,33,5,22,17,7,12,20,9,10,25,26,25,2,13,4,5,21,12,34,24,31,9,6,19,11,3,27,15,13,1,6,4,1
2007-Feb,10,2,3,10,6,2,6,7,6,32,8,10,5,5,15,13,4,59,2,3,13,10,6,10,5,3,7,15,3,3,,34,6,22,40,,48,12,4,5,7,57,18,46,3,3,14,15,7,32,18,19,21,11,21,18,13,7,22,31,28,2,15,5,6,15,9,24,17,31,21,18,10,11,2,16,12,10,2,4,9,2
2007-Mar,9,14,6,15,10,13,5,6,8,44,7,8,10,10,6,8,4,56,3,4,11,16,3,8,8,4,4,10,5,4,,29,17,26,44,,54,12,12,5,6,35,24,33,5,7,18,13,9,35,11,29,16,15,21,23,8,12,35,34,20,5,16,7,6,29,9,27,39,29,25,15,12,16,2,27,20,11,5,6,6,1
2007-Apr,3,3,8,10,2,2,7,2,8,48,2,5,6,6,8,10,6,50,4,4,11,11,6,6,7,4,2,7,2,5,,31,6,19,41,,58,16,13,4,7,45,10,44,6,4,16,15,9,22,5,25,16,9,18,17,8,11,34,31,22,2,20,8,8,13,5,26,22,19,15,12,10,9,2,16,9,19,1,3,4,0
2007-May,2,7,15,13,2,13,6,17,5,52,8,9,11,3,11,11,3,63,6,12,18,12,8,8,14,3,2,15,2,3,,38,18,30,52,,44,7,15,7,5,39,26,46,7,4,25,11,6,34,8,28,22,13,20,13,15,16,28,27,38,5,12,11,8,27,12,28,25,37,18,14,12,16,3,31,15,14,2,4,8,3
2007-Jun,4,10,7,21,9,6,5,7,5,37,8,12,7,3,9,9,10,60,3,10,12,9,9,11,7,4,3,21,6,4,,40,10,29,40,,36,11,22,5,5,69,18,32,3,2,39,11,9,24,17,32,17,19,19,16,5,8,40,27,39,4,11,13,6,21,8,30,37,23,22,14,13,12,3,18,15,19,0,5,2,0
2007-Jul,8,10,13,14,6,11,4,11,12,40,4,10,3,1,9,11,9,68,6,9,11,5,8,6,4,7,5,17,4,4,,30,6,28,54,,60,19,12,3,11,34,27,40,3,5,40,9,4,24,13,30,26,9,17,27,13,14,36,28,36,8,9,10,7,31,10,42,21,17,23,25,12,14,4,17,21,16,1,5,2,1
2007-Aug,11,8,6,11,9,8,4,11,6,50,3,13,11,6,7,14,10,57,5,8,13,12,8,11,8,4,5,14,3,1,,39,13,29,61,,67,5,11,4,11,49,27,34,4,1,32,10,13,29,8,29,18,12,19,21,8,14,25,28,28,4,16,14,11,31,16,45,27,36,29,17,9,11,4,22,24,13,4,4,4,0
2007-Sep,5,9,6,13,8,5,5,8,5,36,7,16,5,7,14,11,8,58,2,8,8,10,5,5,3,3,6,19,0,4,,40,9,19,51,,43,15,5,2,6,41,19,34,5,3,28,4,10,34,10,24,16,13,18,17,6,12,44,26,34,4,16,9,6,19,12,36,26,20,20,18,10,17,2,15,19,16,1,6,3,0
2007-Oct,3,16,9,14,11,9,3,14,10,46,4,6,9,3,21,13,13,53,5,3,14,8,6,16,5,8,7,21,4,0,,45,7,30,37,,55,11,5,4,8,36,25,43,7,4,26,16,8,43,20,35,22,8,20,16,7,10,35,33,37,6,14,11,11,29,20,37,32,34,18,15,8,12,4,25,20,14,3,7,2,5
2007-Nov,9,15,15,17,5,6,7,12,13,40,3,10,6,5,9,8,8,57,5,6,13,9,4,5,7,3,7,11,7,4,,30,16,22,41,,65,10,8,5,12,47,22,68,6,1,24,16,9,28,10,24,18,10,19,19,7,8,28,27,27,5,13,14,11,20,14,33,38,26,23,27,8,7,1,24,15,19,5,2,1,1
2007-Dec,8,12,6,14,3,5,8,12,9,46,3,7,9,4,13,9,5,60,8,10,18,15,5,8,6,8,5,18,7,3,,42,10,30,34,,76,27,8,8,9,57,17,39,7,6,28,19,9,27,21,25,24,12,26,15,12,10,38,29,35,6,17,9,12,31,14,43,50,19,26,24,16,16,3,18,11,13,1,4,4,0
2008-Jan,8,11,12,15,7,8,6,10,9,58,6,15,2,5,11,7,6,60,5,7,17,10,8,11,7,11,7,26,2,3,,48,11,26,44,,65,6,8,2,9,59,22,57,7,5,28,20,6,44,9,21,18,12,21,24,15,13,38,35,29,5,22,9,9,22,13,27,49,26,25,26,13,21,3,21,15,16,1,6,5,1
2008-Feb,6,8,14,12,9,3,7,15,5,50,5,3,6,2,8,8,6,63,5,5,9,10,3,8,9,9,6,16,5,1,,43,13,29,43,,64,12,9,3,13,56,28,54,5,2,19,17,8,26,5,26,24,7,22,11,6,13,35,38,40,2,13,6,5,23,15,27,32,34,18,17,10,9,1,38,8,16,2,3,3,0
2008-Mar,7,7,15,16,3,10,8,16,5,47,4,8,10,2,10,5,9,56,3,6,9,15,7,9,7,3,2,20,1,2,,38,8,32,42,,52,11,5,6,2,55,23,43,7,4,22,13,8,25,6,21,14,7,23,13,13,15,36,28,23,0,20,7,8,21,15,40,26,18,22,19,9,19,1,15,16,14,1,4,2,2
2008-Apr,4,15,14,12,8,4,7,7,10,28,2,11,6,5,12,7,11,52,3,7,12,10,6,5,8,6,8,10,4,8,,35,14,29,33,,53,8,4,2,9,61,22,43,6,5,14,14,8,31,14,25,16,12,16,17,5,6,33,32,23,6,12,15,4,31,13,26,23,23,20,21,12,7,5,24,12,19,2,3,3,0
2008-May,11,8,10,19,5,12,5,10,5,37,4,8,9,2,7,13,11,53,4,8,11,13,5,9,9,9,5,15,2,1,,29,6,24,31,,51,9,8,5,6,40,18,41,3,4,20,16,6,37,18,21,20,5,18,19,11,15,32,28,46,5,4,11,6,25,11,32,43,21,13,15,14,6,2,18,19,18,1,4,2,1
2008-Jun,7,8,10,16,8,7,10,9,5,39,2,11,7,5,13,7,9,52,2,5,16,10,3,11,7,5,5,19,3,7,,31,7,33,39,,55,12,3,4,11,38,17,32,7,3,25,15,8,27,8,31,23,7,27,14,13,7,28,26,36,2,9,5,5,21,11,23,28,17,22,7,10,8,2,17,17,10,1,4,0,0
