,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,2019
,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь
        Белгородская область,1243,1118,2361,1339,3700,1035,4735,1226,5961,1314,7275,1322,8597,1518,10115,1239,11354,1299,12653,1260,13913,1200,15113,1233,1035,2268,1199,3467,1136,4603,1203,5806,1123,6929,1319,8248,1426,9674,1148,10822,1299,12121,1132,13253,1056,14309,1167
        Брянская область,939,973,1912,947,2859,797,3656,1016,4672,992,5664,1064,6728,1117,7845,876,8721,982,9703,994,10697,856,11553,949,836,1785,913,2698,868,3566,967,4533,864,5397,1017,6414,1038,7452,897,8349,1032,9381,908,10289,822,11111,877
        Владимирская область,1135,1006,2141,1169,3310,1000,4310,1083,5393,1202,6595,1198,7793,1272,9065,1087,10152,1207,11359,1040,12399,996,13395,1076,969,2045,1100,3145,1001,4146,1053,5199,1112,6311,1164,7475,1153,8628,985,9613,1096,10709,1019,11728,888,12616,1002
        Воронежская область,1768,1698,3466,1905,5371,1599,6970,1834,8804,1901,10705,1976,12681,2272,14953,1855,16808,1979,18787,1861,20648,1775,22423,1791,1664,3455,1698,5153,1619,6772,2011,8783,1700,10483,1942,12425,2031,14456,1771,16227,1953,18180,1669,19849,1491,21340,1686
        Ивановская область,771,735,1506,908,2414,744,3158,797,3955,844,4799,890,5689,901,6590,811,7401,886,8287,828,9115,762,9877,746,708,1454,743,2197,700,2897,792,3689,744,4433,875,5308,820,6128,733,6861,866,7727,738,8465,671,9136,617
        Калужская область,905,871,1776,938,2714,801,3515,945,4460,956,5416,959,6375,1060,7435,870,8305,958,9263,855,10118,838,10956,860,791,1651,864,2515,849,3364,909,4273,830,5103,955,6058,915,6973,870,7843,887,8730,820,9550,728,10278,815
        Костромская область,525,527,1052,634,1686,478,2164,549,2713,615,3328,614,3942,703,4645,561,5206,639,5845,585,6430,485,6915,494,469,963,546,1509,503,2012,504,2516,553,3069,615,3684,533,4217,494,4711,575,5286,459,5745,468,6213,481
        Курская область,867,841,1708,922,2630,747,3377,894,4271,883,5154,939,6093,1123,7216,916,8132,963,9095,858,9953,830,10783,884,795,1679,818,2497,747,3244,904,4148,840,4988,1043,6031,919,6950,818,7768,981,8749,816,9565,689,10254,814
        Липецкая область,949,866,1815,1005,2820,820,3640,940,4580,1042,5622,1052,6674,1139,7813,1025,8838,1025,9863,869,10732,833,11565,971,819,1790,871,2661,847,3508,915,4423,892,5315,1006,6321,1049,7370,830,8200,1023,9223,886,10109,783,10892,880
        Московская область,6697,6501,13198,7833,21031,6604,27635,7551,35186,7894,43080,8034,51114,8535,59649,7366,67015,7178,74193,7372,81565,7318,88883,6930,6399,13329,7334,20663,6449,27112,7334,34446,7481,41927,7317,49244,7931,57175,6773,63948,6894,70842,5942,76784,5447,82231,5762
        Орловская область,544,561,1105,611,1716,492,2208,605,2813,622,3435,653,4088,717,4805,518,5323,667,5990,612,6602,541,7143,611,533,1144,563,1707,508,2215,579,2794,510,3304,616,3920,630,4550,541,5091,667,5758,510,6268,502,6770,497
        Рязанская область,880,878,1758,985,2743,812,3555,958,4513,1024,5537,931,6468,1056,7524,919,8443,805,9248,961,10209,822,11031,865,858,1723,890,2613,756,3369,861,4230,874,5104,897,6001,961,6962,891,7853,844,8697,802,9499,754,10253,778
        Смоленская область,646,650,1296,768,2064,633,2697,775,3472,766,4238,797,5035,834,5869,659,6528,762,7290,701,7991,667,8658,690,607,1297,655,1952,638,2590,712,3302,654,3956,716,4672,752,5424,548,5972,694,6666,557,7223,593,7816,601
        Тамбовская область,764,689,1453,767,2220,640,2860,712,3572,788,4360,796,5156,899,6055,687,6742,757,7499,725,8224,684,8908,677,624,1301,684,1985,683,2668,792,3460,667,4127,714,4841,786,5627,633,6260,719,6979,681,7660,594,8254,676
        Тверская область,978,968,1946,1193,3139,921,4060,1121,5181,1143,6324,1137,7461,1233,8694,948,9642,1071,10713,1048,11761,1036,12797,945,874,1819,964,2783,904,3687,1014,4701,972,5673,1051,6724,1132,7856,937,8793,1043,9836,888,10724,863,11587,934
        Тульская область,1145,972,2117,1250,3367,1028,4395,1097,5492,1176,6668,1138,7806,1298,9104,1093,10197,1147,11344,1102,12446,972,13418,1037,1010,2047,992,3039,967,4006,1043,5049,1055,6104,1088,7192,1158,8350,1022,9372,1087,10459,968,11427,954,12381,912
        Ярославская область,1119,964,2083,1175,3258,962,4220,1161,5381,1175,6556,1145,7701,1329,9030,1042,10072,1115,11187,1114,12301,1020,13321,1086,858,1944,1044,2988,964,3952,1086,5038,942,5980,1184,7164,1155,8319,963,9282,1186,10468,1023,11491,941,12432,969
