,,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Белгородская область,январь,-1123,-803,-695,-669,-518,-667,-468,-423,-521,-499,-612,-743,-651,-942
        Белгородская область,февраль,-882,-621,-480,-408,-491,-530,-463,-402,-445,-515,-537,-508,-631,-589
        Белгородская область,январь-февраль,-2005,-1424,-1175,-1077,-1009,-1197,-931,-825,-966,-1014,-1149,-1251,-1282,-1531
        Белгородская область,март,-846,-845,-731,-583,-564,-538,-384,-553,-450,-535,-441,-576,-718,
        Белгородская область,январь-март,-2851,-2269,-1906,-1660,-1573,-1735,-1315,-1378,-1416,-1549,-1590,-1827,-2000,
        Белгородская область,апрель,-768,-723,-634,-646,-450,-515,-517,-571,-595,-508,-323,-611,-695,
        Белгородская область,январь-апрель,-3619,-2992,-2540,-2306,-2023,-2250,-1832,-1949,-2011,-2057,-1913,-2438,-2695,
        Белгородская область,май,-919,-724,-724,-535,-429,-444,-398,-486,-406,-355,-523,-592,-658,
        Белгородская область,январь-май,-4538,-3716,-3264,-2841,-2452,-2694,-2230,-2435,-2417,-2412,-2436,-3030,-3353,
        Белгородская область,июнь,-712,-547,-415,-349,-240,-375,-256,-229,-232,-267,-355,-380,-637,
        Белгородская область,январь-июнь,-5250,-4263,-3679,-3190,-2692,-3069,-2486,-2664,-2649,-2679,-2791,-3410,-3990,
        Белгородская область,июль,-604,-390,-354,-311,-517,-226,3,107,-61,-30,-294,-290,-369,
        Белгородская область,январь-июль,-5854,-4653,-4033,-3501,-3209,-3295,-2483,-2557,-2710,-2709,-3085,-3700,-4359,
        Белгородская область,август,-434,-361,-189,-150,-660,-118,-12,65,-54,-58,-104,-407,-214,
        Белгородская область,январь-август,-6288,-5014,-4222,-3651,-3869,-3413,-2495,-2492,-2764,-2767,-3189,-4107,-4573,
        Белгородская область,сентябрь,-526,-302,-268,-158,-287,-210,-198,-128,-93,-60,-142,-273,-402,
        Белгородская область,январь-сентябрь,-6814,-5316,-4490,-3809,-4156,-3623,-2693,-2620,-2857,-2827,-3331,-4380,-4975,
        Белгородская область,октябрь,-647,-456,-385,-341,-408,-377,-267,-282,-206,-144,-260,-452,-366,
        Белгородская область,январь-октябрь,-7461,-5772,-4875,-4150,-4564,-4000,-2960,-2902,-3063,-2971,-3591,-4832,-5341,
        Белгородская область,ноябрь,-695,-426,-412,-550,-377,-304,-305,-273,-335,-390,-262,-484,-554,
        Белгородская область,январь-ноябрь,-8156,-6198,-5287,-4700,-4941,-4304,-3265,-3175,-3398,-3361,-3853,-5316,-5895,
        Белгородская область,декабрь,-661,-511,-405,-426,-432,-395,-325,-321,-421,-351,-419,-433,-538,
        Белгородская область,январь-декабрь,-8817,-6709,-5692,-5126,-5373,-4699,-3590,-3496,-3819,-3712,-4272,-5749,-6433,
        Брянская область,январь,-1630,-1226,-1099,-942,-918,-751,-763,-780,-664,-671,-787,-962,-735,-747
        Брянская область,февраль,-1119,-834,-814,-565,-687,-577,-492,-600,-675,-460,-514,-481,-561,-875
        Брянская область,январь-февраль,-2749,-2060,-1913,-1507,-1605,-1328,-1255,-1380,-1339,-1131,-1301,-1443,-1296,-1622
        Брянская область,март,-1277,-983,-1074,-903,-627,-783,-500,-689,-627,-682,-458,-719,-747,
        Брянская область,январь-март,-4026,-3043,-2987,-2410,-2232,-2111,-1755,-2069,-1966,-1813,-1759,-2162,-2043,
        Брянская область,апрель,-1133,-917,-888,-668,-709,-675,-622,-655,-496,-603,-469,-667,-767,
        Брянская область,январь-апрель,-5159,-3960,-3875,-3078,-2941,-2786,-2377,-2724,-2462,-2416,-2228,-2829,-2810,
        Брянская область,май,-1104,-1138,-753,-690,-644,-750,-571,-605,-639,-576,-589,-705,-699,
        Брянская область,январь-май,-6263,-5098,-4628,-3768,-3585,-3536,-2948,-3329,-3101,-2992,-2817,-3534,-3509,
        Брянская область,июнь,-994,-661,-664,-586,-580,-476,-495,-373,-427,-312,-355,-476,-593,
        Брянская область,январь-июнь,-7257,-5759,-5292,-4354,-4165,-4012,-3443,-3702,-3528,-3304,-3172,-4010,-4102,
        Брянская область,июль,-758,-617,-440,-382,-852,-362,-403,-393,-322,-301,-336,-385,-505,
        Брянская область,январь-июль,-8015,-6376,-5732,-4736,-5017,-4374,-3846,-4095,-3850,-3605,-3508,-4395,-4607,
        Брянская область,август,-744,-645,-450,-415,-716,-327,-289,-218,-383,-232,-363,-388,-416,
        Брянская область,январь-август,-8759,-7021,-6182,-5151,-5733,-4701,-4135,-4313,-4233,-3837,-3871,-4783,-5023,
        Брянская область,сентябрь,-819,-674,-582,-371,-513,-372,-388,-351,-382,-303,-316,-493,-370,
        Брянская область,январь-сентябрь,-9578,-7695,-6764,-5522,-6246,-5073,-4523,-4664,-4615,-4140,-4187,-5276,-5393,
        Брянская область,октябрь,-948,-809,-601,-575,-652,-429,-398,-450,-542,-332,-356,-604,-473,
        Брянская область,январь-октябрь,-10526,-8504,-7365,-6097,-6898,-5502,-4921,-5114,-5157,-4472,-4543,-5880,-5866,
        Брянская область,ноябрь,-1102,-788,-665,-725,-521,-624,-483,-464,-449,-471,-562,-497,-439,
        Брянская область,январь-ноябрь,-11628,-9292,-8030,-6822,-7419,-6126,-5404,-5578,-5606,-4943,-5105,-6377,-6305,
        Брянская область,декабрь,-949,-868,-848,-773,-631,-528,-576,-476,-592,-434,-558,-667,-759,
        Брянская область,январь-декабрь,-12577,-10160,-8878,-7595,-8050,-6654,-5980,-6054,-6198,-5377,-5663,-7044,-7064,
        Владимирская область,январь,-1670,-1359,-1364,-1251,-1108,-1015,-825,-933,-737,-792,-897,-1031,-851,-1069
        Владимирская область,февраль,-1350,-1080,-780,-794,-854,-874,-673,-701,-620,-707,-633,-702,-675,-953
        Владимирская область,январь-февраль,-3020,-2439,-2144,-2045,-1962,-1889,-1498,-1634,-1357,-1499,-1530,-1733,-1526,-2022
        Владимирская область,март,-1354,-1205,-1187,-1026,-873,-853,-543,-730,-728,-882,-479,-635,-910,
        Владимирская область,январь-март,-4374,-3644,-3331,-3071,-2835,-2742,-2041,-2364,-2085,-2381,-2009,-2368,-2436,
        Владимирская область,апрель,-1117,-1162,-1052,-1045,-900,-809,-660,-762,-726,-701,-559,-750,-987,
        Владимирская область,январь-апрель,-5491,-4806,-4383,-4116,-3735,-3551,-2701,-3126,-2811,-3082,-2568,-3118,-3423,
        Владимирская область,май,-1355,-1198,-1061,-946,-971,-1022,-831,-705,-755,-630,-702,-899,-897,
        Владимирская область,январь-май,-6846,-6004,-5444,-5062,-4706,-4573,-3532,-3831,-3566,-3712,-3270,-4017,-4320,
        Владимирская область,июнь,-1174,-863,-1031,-924,-771,-741,-459,-521,-557,-500,-611,-576,-745,
        Владимирская область,январь-июнь,-8020,-6867,-6475,-5986,-5477,-5314,-3991,-4352,-4123,-4212,-3881,-4593,-5065,
        Владимирская область,июль,-969,-776,-769,-728,-1102,-479,-474,-490,-437,-411,-387,-539,-643,
        Владимирская область,январь-июль,-8989,-7643,-7244,-6714,-6579,-5793,-4465,-4842,-4560,-4623,-4268,-5132,-5708,
        Владимирская область,август,-931,-881,-743,-653,-965,-444,-309,-481,-332,-269,-437,-512,-605,
        Владимирская область,январь-август,-9920,-8524,-7987,-7367,-7544,-6237,-4774,-5323,-4892,-4892,-4705,-5644,-6313,
        Владимирская область,сентябрь,-988,-824,-940,-745,-791,-562,-537,-663,-743,-462,-540,-662,-633,
        Владимирская область,январь-сентябрь,-10908,-9348,-8927,-8112,-8335,-6799,-5311,-5986,-5635,-5354,-5245,-6306,-6946,
        Владимирская область,октябрь,-1281,-1040,-840,-778,-722,-794,-610,-650,-610,-505,-611,-640,-745,
        Владимирская область,январь-октябрь,-12189,-10388,-9767,-8890,-9057,-7593,-5921,-6636,-6245,-5859,-5856,-6946,-7691,
        Владимирская область,ноябрь,-1158,-1102,-774,-980,-624,-741,-650,-675,-617,-542,-563,-650,-646,
        Владимирская область,январь-ноябрь,-13347,-11490,-10541,-9870,-9681,-8334,-6571,-7311,-6862,-6401,-6419,-7596,-8337,
        Владимирская область,декабрь,-1110,-986,-990,-1055,-876,-593,-717,-635,-633,-503,-827,-768,-748,
        Владимирская область,январь-декабрь,-14457,-12476,-11531,-10925,-10557,-8927,-7288,-7946,-7495,-6904,-7246,-8364,-9085,
        Воронежская область,январь,-2526,-2164,-2128,-2010,-1718,-1422,-1297,-1441,-1157,-1394,-1389,-1580,-1321,-1335
        Воронежская область,февраль,-2190,-1653,-1559,-1268,-1450,-1120,-1101,-837,-1047,-980,-1052,-1165,-957,-1352
        Воронежская область,январь-февраль,-4716,-3817,-3687,-3278,-3168,-2542,-2398,-2278,-2204,-2374,-2441,-2745,-2278,-2687
        Воронежская область,март,-2103,-1985,-1708,-1532,-1439,-1497,-1003,-1263,-1190,-1356,-712,-1182,-1538,
        Воронежская область,январь-март,-6819,-5802,-5395,-4810,-4607,-4039,-3401,-3541,-3394,-3730,-3153,-3927,-3816,
        Воронежская область,апрель,-1795,-1740,-1716,-1448,-1381,-1421,-1066,-1341,-1124,-1051,-903,-1002,-1335,
        Воронежская область,январь-апрель,-8614,-7542,-7111,-6258,-5988,-5460,-4467,-4882,-4518,-4781,-4056,-4929,-5151,
        Воронежская область,май,-2133,-2076,-1850,-1346,-1244,-1575,-1132,-1283,-1028,-865,-907,-1314,-1050,
        Воронежская область,январь-май,-10747,-9618,-8961,-7604,-7232,-7035,-5599,-6165,-5546,-5646,-4963,-6243,-6201,
        Воронежская область,июнь,-1772,-1755,-1503,-1204,-1155,-1166,-867,-846,-906,-906,-905,-818,-1119,
        Воронежская область,январь-июнь,-12519,-11373,-10464,-8808,-8387,-8201,-6466,-7011,-6452,-6552,-5868,-7061,-7320,
        Воронежская область,июль,-1653,-1449,-1106,-1145,-1355,-820,-476,-516,-481,-552,-941,-668,-960,
        Воронежская область,январь-июль,-14172,-12822,-11570,-9953,-9742,-9021,-6942,-7527,-6933,-7104,-6809,-7729,-8280,
        Воронежская область,август,-1363,-1112,-1112,-821,-2484,-593,-569,-487,-718,-334,-329,-540,-637,
        Воронежская область,январь-август,-15535,-13934,-12682,-10774,-12226,-9614,-7511,-8014,-7651,-7438,-7138,-8269,-8917,
        Воронежская область,сентябрь,-1496,-1240,-1269,-859,-796,-785,-705,-673,-706,-276,-550,-736,-626,
        Воронежская область,январь-сентябрь,-17031,-15174,-13951,-11633,-13022,-10399,-8216,-8687,-8357,-7714,-7688,-9005,-9543,
        Воронежская область,октябрь,-1969,-1565,-1179,-1089,-1039,-1013,-726,-950,-862,-729,-807,-961,-946,
        Воронежская область,январь-октябрь,-19000,-16739,-15130,-12722,-14061,-11412,-8942,-9637,-9219,-8443,-8495,-9966,-10489,
        Воронежская область,ноябрь,-1686,-1570,-1335,-1255,-1012,-867,-819,-776,-843,-643,-854,-794,-901,
        Воронежская область,январь-ноябрь,-20686,-18309,-16465,-13977,-15073,-12279,-9761,-10413,-10062,-9086,-9349,-10760,-11390,
        Воронежская область,декабрь,-1806,-1674,-1419,-1264,-989,-935,-1039,-1029,-1106,-838,-1205,-945,-1393,
        Воронежская область,январь-декабрь,-22492,-19983,-17884,-15241,-16062,-13214,-10800,-11442,-11168,-9924,-10554,-11705,-12783,
        Ивановская область,январь,-1474,-1078,-1102,-1002,-813,-827,-665,-684,-501,-716,-738,-798,-708,-810
        Ивановская область,февраль,-1057,-892,-856,-650,-762,-665,-544,-498,-365,-363,-501,-531,-535,-771
        Ивановская область,январь-февраль,-2531,-1970,-1958,-1652,-1575,-1492,-1209,-1182,-866,-1079,-1239,-1329,-1243,-1581
        Ивановская область,март,-1191,-886,-867,-859,-815,-616,-497,-595,-520,-619,-555,-437,-710,
        Ивановская область,январь-март,-3722,-2856,-2825,-2511,-2390,-2108,-1706,-1777,-1386,-1698,-1794,-1766,-1953,
        Ивановская область,апрель,-977,-866,-825,-789,-702,-587,-596,-519,-572,-560,-405,-552,-735,
        Ивановская область,январь-апрель,-4699,-3722,-3650,-3300,-3092,-2695,-2302,-2296,-1958,-2258,-2199,-2318,-2688,
        Ивановская область,май,-1089,-909,-938,-774,-699,-814,-579,-537,-512,-412,-402,-625,-750,
        Ивановская область,январь-май,-5788,-4631,-4588,-4074,-3791,-3509,-2881,-2833,-2470,-2670,-2601,-2943,-3438,
        Ивановская область,июнь,-992,-688,-800,-776,-629,-557,-407,-359,-351,-313,-291,-538,-522,
        Ивановская область,январь-июнь,-6780,-5319,-5388,-4850,-4420,-4066,-3288,-3192,-2821,-2983,-2892,-3481,-3960,
        Ивановская область,июль,-783,-599,-708,-463,-906,-428,-355,-313,-369,-147,-242,-382,-461,
        Ивановская область,январь-июль,-7563,-5918,-6096,-5313,-5326,-4494,-3643,-3505,-3190,-3130,-3134,-3863,-4421,
        Ивановская область,август,-823,-716,-622,-478,-619,-519,-368,-227,-298,-225,-324,-418,-533,
        Ивановская область,январь-август,-8386,-6634,-6718,-5791,-5945,-5013,-4011,-3732,-3488,-3355,-3458,-4281,-4954,
        Ивановская область,сентябрь,-871,-756,-816,-550,-662,-370,-545,-402,-507,-302,-383,-427,-387,
        Ивановская область,январь-сентябрь,-9257,-7390,-7534,-6341,-6607,-5383,-4556,-4134,-3995,-3657,-3841,-4708,-5341,
        Ивановская область,октябрь,-994,-786,-655,-692,-626,-576,-485,-345,-389,-358,-419,-553,-528,
        Ивановская область,январь-октябрь,-10251,-8176,-8189,-7033,-7233,-5959,-5041,-4479,-4384,-4015,-4260,-5261,-5869,
        Ивановская область,ноябрь,-760,-815,-701,-657,-630,-509,-390,-390,-436,-441,-516,-473,-523,
        Ивановская область,январь-ноябрь,-11011,-8991,-8890,-7690,-7863,-6468,-5431,-4869,-4820,-4456,-4776,-5734,-6392,
        Ивановская область,декабрь,-980,-792,-773,-866,-626,-400,-667,-469,-541,-390,-514,-545,-669,
        Ивановская область,январь-декабрь,-11991,-9783,-9663,-8556,-8489,-6868,-6098,-5338,-5361,-4846,-5290,-6279,-7061,
        Калужская область,январь,-985,-813,-787,-707,-721,-542,-464,-527,-407,-438,-514,-534,-489,-455
        Калужская область,февраль,-866,-662,-568,-478,-547,-487,-325,-320,-326,-275,-334,-344,-344,-626
        Калужская область,январь-февраль,-1851,-1475,-1355,-1185,-1268,-1029,-789,-847,-733,-713,-848,-878,-833,-1081
        Калужская область,март,-701,-755,-764,-630,-469,-462,-300,-367,-346,-390,-216,-320,-590,
        Калужская область,январь-март,-2552,-2230,-2119,-1815,-1737,-1491,-1089,-1214,-1079,-1103,-1064,-1198,-1423,
        Калужская область,апрель,-780,-722,-589,-549,-425,-456,-417,-420,-357,-282,-181,-375,-479,
        Калужская область,январь-апрель,-3332,-2952,-2708,-2364,-2162,-1947,-1506,-1634,-1436,-1385,-1245,-1573,-1902,
        Калужская область,май,-788,-701,-640,-482,-414,-519,-398,-290,-236,-126,-184,-409,-425,
        Калужская область,январь-май,-4120,-3653,-3348,-2846,-2576,-2466,-1904,-1924,-1672,-1511,-1429,-1982,-2327,
        Калужская область,июнь,-780,-473,-642,-421,-399,-404,-320,-190,-274,-128,-195,-280,-450,
        Калужская область,январь-июнь,-4900,-4126,-3990,-3267,-2975,-2870,-2224,-2114,-1946,-1639,-1624,-2262,-2777,
        Калужская область,июль,-553,-485,-345,-406,-641,-261,-131,-170,-163,-97,-108,-219,-239,
        Калужская область,январь-июль,-5453,-4611,-4335,-3673,-3616,-3131,-2355,-2284,-2109,-1736,-1732,-2481,-3016,
        Калужская область,август,-475,-406,-433,-405,-415,-255,-181,-220,-191,-80,-174,-172,-320,
        Калужская область,январь-август,-5928,-5017,-4768,-4078,-4031,-3386,-2536,-2504,-2300,-1816,-1906,-2653,-3336,
        Калужская область,сентябрь,-587,-582,-533,-379,-388,-239,-331,-227,-312,-60,-169,-308,-268,
        Калужская область,январь-сентябрь,-6515,-5599,-5301,-4457,-4419,-3625,-2867,-2731,-2612,-1876,-2075,-2961,-3604,
        Калужская область,октябрь,-694,-558,-539,-470,-374,-370,-344,-236,-296,-181,-313,-274,-368,
