,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,2019
,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь
        Белгородская область,12,7,19,10,29,2,31,7,38,4,42,4,46,7,53,3,56,4,60,13,73,5,78,5,12,17,2,19,3,22,6,28,9,37,12,49,8,57,3,60,3,63,3,66,5,71,6
        Брянская область,11,15,26,4,30,6,36,12,48,10,58,12,70,8,78,2,80,3,83,9,92,5,97,4,1,5,5,10,1,11,2,13,5,18,5,23,9,32,3,35,6,41,1,42,3,45,2
        Владимирская область,8,5,13,6,19,10,29,4,33,9,42,8,50,2,52,4,56,8,64,9,73,4,77,4,6,10,6,16,8,24,2,26,15,41,3,44,5,49,3,52,4,56,5,61,1,62,5
        Воронежская область,7,7,14,10,24,9,33,5,38,5,43,8,51,13,64,14,78,9,87,12,99,7,106,9,3,12,9,21,11,32,10,42,7,49,8,57,9,66,9,75,13,88,7,95,5,100,5
        Ивановская область,2,5,7,2,9,3,12,1,13,2,15,3,18,6,24,1,25,4,29,2,31,4,35,4,2,6,2,8,3,11,2,13,1,14,0,14,5,19,4,23,3,26,1,27,5,32,4
        Калужская область,8,4,12,2,14,3,17,3,20,5,25,2,27,6,33,2,35,6,41,3,44,6,50,3,5,8,6,14,2,16,4,20,5,25,5,30,3,33,8,41,5,46,0,46,3,49,4
        Костромская область,3,3,6,3,9,4,13,4,17,4,21,5,26,6,32,5,37,3,40,4,44,6,50,3,5,8,0,8,1,9,4,13,2,15,5,20,1,21,4,25,1,26,7,33,3,36,2
        Курская область,6,8,14,5,19,5,24,7,31,5,36,6,42,6,48,3,51,3,54,3,57,6,63,2,6,8,1,9,7,16,6,22,5,27,5,32,4,36,3,39,7,46,6,52,2,54,3
        Липецкая область,2,2,4,4,8,3,11,1,12,2,14,3,17,6,23,5,28,4,32,4,36,4,40,2,1,3,3,6,2,8,0,8,4,12,6,18,7,25,2,27,6,33,1,34,4,38,2
        Московская область,31,32,63,28,91,29,120,31,151,28,179,22,201,28,229,31,260,36,296,37,333,39,372,29,21,50,26,76,32,108,38,146,49,195,32,227,32,259,21,280,23,303,19,322,15,337,28
        Орловская область,1,5,6,4,10,4,14,2,16,3,19,5,24,5,29,4,33,4,37,4,41,2,43,5,3,8,3,11,4,15,3,18,5,23,1,24,2,26,1,27,3,30,2,32,3,35,5
        Рязанская область,1,4,5,7,12,9,21,4,25,3,28,4,32,7,39,3,42,2,44,4,48,3,51,2,2,4,5,9,1,10,8,18,10,28,3,31,5,36,3,39,5,44,2,46,4,50,4
        Смоленская область,2,4,6,4,10,4,14,8,22,3,25,2,27,5,32,8,40,3,43,3,46,2,48,7,6,13,4,17,4,21,2,23,2,25,10,35,8,43,4,47,2,49,2,51,1,52,2
        Тамбовская область,1,1,2,1,3,2,5,3,8,2,10,2,12,3,15,3,18,0,18,2,20,2,22,2,3,5,0,5,2,7,0,7,3,10,2,12,1,13,5,18,1,19,0,19,12,31,1
        Тверская область,3,4,7,6,13,7,20,2,22,13,35,3,38,6,44,5,49,3,52,1,53,6,59,5,3,8,4,12,6,18,4,22,4,26,4,30,6,36,6,42,3,45,5,50,6,56,1
        Тульская область,6,12,18,2,20,4,24,9,33,9,42,9,51,8,59,5,64,11,75,10,85,8,93,4,4,8,1,9,1,10,5,15,6,21,4,25,10,35,7,42,7,49,5,54,5,59,4
        Ярославская область,3,12,15,8,23,4,27,2,29,9,38,6,44,12,56,9,65,4,69,5,74,9,83,2,1,3,1,4,4,8,3,11,5,16,2,18,3,21,2,23,5,28,3,31,9,40,5
        Город Москва столица Российской Федерации город федерального значения,54,59,113,75,188,68,256,97,353,69,422,64,486,59,545,64,609,55,664,57,721,56,777,68,68,136,74,210,75,285,54,339,58,397,75,472,52,524,58,582,34,616,44,660,41,701,45
        Республика Карелия,2,1,3,2,5,4,9,2,11,5,16,3,19,4,23,5,28,5,33,5,38,6,44,1,2,3,6,9,1,10,4,14,2,16,5,21,3,24,1,25,2,27,5,32,2,34,5
        Республика Коми,6,3,9,5,14,6,20,1,21,4,25,3,28,1,29,7,36,2,38,2,40,2,42,5,2,7,3,10,4,14,2,16,3,19,2,21,6,27,2,29,4,33,3,36,4,40,2
        Архангельская область,3,12,15,9,24,8,32,4,36,3,39,7,46,9,55,9,64,1,65,8,73,3,76,3,0,3,5,8,2,10,1,11,8,19,5,24,4,28,8,36,7,43,5,48,7,55,3
        Вологодская область,4,3,7,6,13,10,23,7,30,17,47,14,61,6,67,7,74,6,80,2,82,5,87,7,2,9,2,11,7,18,8,26,10,36,8,44,4,48,2,50,3,53,4,57,6,63,6
        Калининградская область,3,1,4,2,6,7,13,6,19,5,24,3,27,4,31,7,38,4,42,3,45,5,50,3,2,5,1,6,1,7,6,13,0,13,3,16,5,21,4,25,8,33,2,35,11,46,3
        Ленинградская область,9,7,16,5,21,7,28,6,34,8,42,3,45,2,47,6,53,6,59,8,67,3,70,1,6,7,3,10,7,17,2,19,3,22,4,26,3,29,4,33,3,36,7,43,3,46,2
        Мурманская область,3,6,9,3,12,2,14,4,18,0,18,5,23,2,25,3,28,6,34,1,35,8,43,6,3,9,2,11,3,14,7,21,2,23,3,26,4,30,2,32,1,33,2,35,3,38,3
        Новгородская область,0,0,0,5,5,3,8,3,11,4,15,6,21,0,21,1,22,2,24,5,29,8,37,2,1,3,4,7,3,10,2,12,1,13,2,15,2,17,1,18,4,22,4,26,0,26,4
        Псковская область,1,3,4,4,8,3,11,5,16,1,17,1,18,3,21,3,24,3,27,3,30,3,33,1,1,2,2,4,2,6,1,7,4,11,2,13,3,16,1,17,2,19,2,21,0,21,3
        Город Санкт-Петербург город федерального значения,19,16,35,22,57,27,84,19,103,21,124,13,137,22,159,18,177,21,198,22,220,25,245,19,21,40,13,53,22,75,31,106,18,124,32,156,20,176,26,202,15,217,14,231,11,242,13
        Республика Адыгея (Адыгея),5,1,6,3,9,2,11,3,14,2,16,3,19,4,23,2,25,2,27,4,31,2,33,3,3,6,3,9,0,9,1,10,1,11,0,11,2,13,0,13,2,15,0,15,2,17,2
        Республика Калмыкия,1,1,2,3,5,0,5,2,7,0,7,1,8,1,9,3,12,1,13,1,14,1,15,1,1,2,1,3,3,6,0,6,1,7,1,8,1,9,2,11,3,14,3,17,2,19,0
