,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,2019,,
,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь,февраль,январь-февраль
        Белгородская область,1986,1626,3612,1915,5527,1646,7173,1818,8991,1694,10685,1612,12297,1925,14222,1512,15734,1751,17485,1744,19229,1633,20862,1884,1666,3550,1917,5467,1831,7298,1861,9159,1760,10919,1688,12607,1640,14247,1550,15797,1665,17462,1686,19148,1594,20742,2109,1653,3762
        Брянская область,1901,1454,3355,1666,5021,1464,6485,1721,8206,1468,9674,1449,11123,1505,12628,1369,13997,1586,15583,1491,17074,1523,18597,1684,1397,3081,1660,4741,1635,6376,1666,8042,1457,9499,1522,11021,1454,12475,1267,13742,1505,15247,1347,16594,1581,18175,1624,1408,3032
        Владимирская область,2166,1708,3874,1804,5678,1750,7428,1982,9410,1778,11188,1737,12925,1784,14709,1749,16458,1847,18305,1690,19995,1764,21759,1927,1644,3571,2010,5581,1988,7569,1950,9519,1857,11376,1807,13183,1758,14941,1618,16559,1841,18400,1665,20065,1636,21701,2071,1559,3630
        Воронежская область,3348,2863,6211,3087,9298,2601,11899,3148,15047,2719,17766,2644,20410,2812,23222,2591,25813,2940,28753,2655,31408,2720,34128,3112,2621,5733,3236,8969,2954,11923,3061,14984,2819,17803,2902,20705,2668,23373,2397,25770,2899,28669,2570,31239,2884,34123,3021,2477,5498
        Ивановская область,1569,1266,2835,1345,4180,1296,5476,1422,6898,1382,8280,1272,9552,1319,10871,1238,12109,1439,13548,1301,14849,1307,16156,1454,1243,2697,1453,4150,1435,5585,1542,7127,1266,8393,1336,9729,1353,11082,1120,12202,1394,13596,1261,14857,1340,16197,1427,1260,2687
        Калужская область,1439,1215,2654,1258,3912,1176,5088,1354,6442,1236,7678,1178,8856,1232,10088,1178,11266,1232,12498,1205,13703,1265,14968,1349,1135,2484,1454,3938,1328,5266,1334,6600,1280,7880,1194,9074,1235,10309,1138,11447,1255,12702,1100,13802,1069,14871,1270,1089,2359
        Костромская область,972,722,1694,860,2554,769,3323,823,4146,791,4937,771,5708,781,6489,725,7214,824,8038,764,8802,793,9595,899,726,1625,821,2446,828,3274,889,4163,778,4941,770,5711,749,6460,708,7168,842,8010,744,8754,719,9473,849,630,1479
        Курская область,1637,1525,3162,1714,4876,1336,6212,1500,7712,1416,9128,1331,10459,1451,11910,1290,13200,1469,14669,1417,16086,1280,17366,1537,1340,2877,1682,4559,1468,6027,1597,7624,1389,9013,1339,10352,1341,11693,1234,12927,1481,14408,1369,15777,1311,17088,1565,1212,2777
        Липецкая область,1653,1421,3074,1494,4568,1294,5862,1546,7408,1353,8761,1331,10092,1424,11516,1281,12797,1440,14237,1356,15593,1321,16914,1433,1279,2712,1580,4292,1466,5758,1474,7232,1354,8586,1315,9901,1308,11209,1197,12406,1535,13941,1305,15246,1160,16406,1556,1242,2798
        Московская область,8869,7048,15917,7801,23718,7036,30754,8120,38874,7437,46311,7420,53731,7445,61176,7472,68648,8093,76741,7445,84186,7536,91722,8282,7364,15646,8687,24333,8270,32603,7870,40473,7688,48161,7525,55686,7410,63096,6926,70022,7918,77940,6992,84932,7467,92399,8441,6934,15375
        Орловская область,1136,990,2126,1073,3199,942,4141,1047,5188,934,6122,900,7022,1036,8058,890,8948,1004,9952,952,10904,935,11839,1076,885,1961,1036,2997,1061,4058,1100,5158,974,6132,921,7053,944,7997,808,8805,1089,9894,939,10833,921,11754,1120,375,1495
        Рязанская область,1789,1374,3163,1510,4673,1386,6059,1590,7649,1437,9086,1323,10409,1437,11846,1288,13134,1381,14515,1380,15895,1325,17220,1594,1274,2868,1682,4550,1486,6036,1521,7557,1406,8963,1325,10288,1477,11765,1281,13046,1267,14313,1228,15541,1637,17178,1536,1288,2824
