,value_b,value_a
1995-01-01,235,
1995-04-01,324.3,
1995-07-01,421.1,
1995-10-01,448.2,
1996-01-01,425.3,
1996-04-01,468.4,
1996-07-01,548.9,
1996-10-01,565.2,
1997-01-01,512.4,
1997-04-01,555.1,
1997-07-01,634.2,
1997-10-01,640.9,
1998-01-01,550.9,
1998-04-01,602.5,
1998-07-01,675.5,
1998-10-01,800.8,
1999-01-01,901.3,
1999-04-01,1101.5,
1999-07-01,1373.1,
1999-10-01,1447.3,
2000-01-01,1527.4,
2000-04-01,1696.6,
2000-07-01,2037.8,
2000-10-01,2043.7,
2001-01-01,1900.9,
2001-04-01,2105,
2001-07-01,2487.9,
2001-10-01,2449.8,
2002-01-01,2262.2,
2002-04-01,2528.7,
2002-07-01,3012.8,
2002-10-01,3026.9,
2003-01-01,2851.1,
2003-04-01,3101.7,
2003-07-01,3600.2,
2003-10-01,3655.2,
2004-01-01,3515.7,
2004-04-01,3971.6,
2004-07-01,4594,
2004-10-01,4945.9,
2005-01-01,4458.6,
2005-04-01,5077.9,
2005-07-01,5845.2,
2005-10-01,6228.1,
2006-01-01,5792.9,
2006-04-01,6368.1,
2006-07-01,7275.8,
2006-10-01,7480.3,
2007-01-01,6780.2,
2007-04-01,7767.5,
2007-07-01,8902.7,
2007-10-01,9797,
2008-01-01,8877.7,
2008-04-01,10238.3,
2008-07-01,11542,
2008-10-01,10618.9,
2009-01-01,8334.6,
2009-04-01,9244.8,
2009-07-01,10411.3,
2009-10-01,10816.4,
2010-01-01,9995.8,
2010-04-01,10977,
2010-07-01,12086.5,
2010-10-01,13249.3,
2011-01-01,11954.2,13028.8
2011-04-01,13376.4,14481.1
2011-07-01,14732.9,15805.6
2011-10-01,15903.7,16967
2012-01-01,,15183
2012-04-01,,16472.2
2012-07-01,,17733.5
2012-10-01,,18775.1
2013-01-01,,16375.3
2013-04-01,,17538.8
2013-07-01,,19058.1
2013-10-01,,20161.7
2014-01-01,,17390.2
2014-04-01,,19128
2014-07-01,,20758.6
2014-10-01,,21922.9
2015-01-01,,18579.1
2015-04-01,,19865.7
2015-07-01,,22017.6
2015-10-01,,22924.8
2016-01-01,,19110.1
2016-04-01,,20624.9
2016-07-01,,22515.8
2016-10-01,,23897.8
2017-01-01,,20549.8
2017-04-01,,22035.1
2017-07-01,,23948.8
2017-10-01,,25503.4
2018-01-01,,22239.4
2018-04-01,,24846.6
2018-07-01,,27007.2
