,ВВП,ВДС,A,B,C,D,E,F,G,H,I,J,K,L,M,O,Налоги на продукты ,Субсидии на продукты,ВВП,ВДС,A,B,C,D,E,F,G,H,I,J,K,L,M,O,Налоги на продукты ,Субсидии на продукты
2003-01-01,2851.1,2495.3,88.4,173.5,396.6,122.3,116.4,590.5,18.9,268.9,91.1,310.3,156.8,75,86.6,0,397.1,-41.3,,,,,,,,,,,,,,,,,,
2003-04-01,3101.7,2701.4,117.4,173.1,462,90,161.8,600.6,23.3,307.4,92.2,342.1,161.8,77,92.8,0,444.3,-44,,,,,,,,,,,,,,,,,,
2003-07-01,3600.2,3184.5,341.1,214.5,503.3,80.6,212.7,651.2,25.7,333.9,99,377.9,164.3,81.6,98.7,0,464,-48.3,,,,,,,,,,,,,,,,,,
2003-10-01,3655.2,3238.5,179.9,208.8,535.8,121.2,212.1,730,26,334,105.7,434.7,168.4,84.3,97.7,0,469.8,-53.1,,,,,,,,,,,,,,,,,,
2004-01-01,3515.7,3112.8,97.6,285.6,528.5,161.3,141.1,663.5,28.7,350.1,103.9,352.1,194.9,95.5,109.9,0,441.1,-38.3,,,,,,,,,,,,,,,,,,
2004-04-01,3971.6,3471.3,148.4,318.7,641.6,120.2,198.2,703,33.9,387.3,113.6,394,199.2,96.4,116.6,0,543.4,-43.1,,,,,,,,,,,,,,,,,,
2004-07-01,4594,4036,386.2,398.9,688.7,105.5,247,763.8,37.7,430.5,120.7,428.5,203.1,102.4,123.1,0,607,-49,,,,,,,,,,,,,,,,,,
2004-10-01,4945.9,4238.7,202.8,408.4,732.2,161.3,260.8,881.8,39.6,474.6,135.9,507.3,205.3,105.8,122.9,0,760.6,-53.3,,,,,,,,,,,,,,,,,,
2005-01-01,4458.6,3798.1,104.3,394.3,688,175.1,163.7,755,33.4,405.3,151,448.9,231.7,117.8,129.7,0,693.9,-33.4,,,,,,,,,,,,,,,,,,
2005-04-01,5077.9,4347,164.6,493.5,769.5,130.2,225.9,867,41.1,464.3,167.4,524.9,239.2,119.6,139.8,0,767.3,-36.4,,,,,,,,,,,,,,,,,,
2005-07-01,5845.2,5037.9,434.7,596.4,890.1,118.8,289.9,928.8,45.5,504,179.4,534,242.2,126.3,147.8,0,848.6,-41.2,,,,,,,,,,,,,,,,,,
2005-10-01,6228.1,5334.7,216.2,580,1040.8,184.2,310.4,1059.8,47.8,523.4,203.3,645.6,246,129.6,147.5,0,938.5,-45.1,,,,,,,,,,,,,,,,,,
2006-01-01,5792.9,4894.5,115.5,575,883.3,219.8,171.6,1020.7,41,465.4,215.2,568,290.8,149.5,178.8,0,930.3,-31.9,,,,,,,,,,,,,,,,,,
2006-04-01,6368.1,5454.9,178,648.7,983.6,156.6,265.8,1112.3,49.9,543.7,231.7,649.3,296.1,149.9,189.5,0,948.7,-35.5,,,,,,,,,,,,,,,,,,
2006-07-01,7275.8,6245,480.7,736,1061.5,141.6,354.8,1215.7,56.8,622.8,250.2,668.3,299.5,158.2,198.8,0,1071,-40.1,,,,,,,,,,,,,,,,,,
2006-10-01,7480.3,6382.9,265.2,549.7,1187.7,209,409.8,1324.9,59,615.7,280.1,819.1,302.8,161.7,198.4,0,1140.1,-42.8,,,,,,,,,,,,,,,,,,
2007-01-01,6780.2,5767.4,136.5,541.8,1011.8,243.5,224.9,1199.5,57.4,580.2,270,744.4,353.7,183.6,220.1,0,1055.6,-42.8,,,,,,,,,,,,,,,,,,
2007-04-01,7767.5,6694.2,206.6,669.1,1236.5,181.2,367.1,1345.8,68.7,676.3,307,856.5,361.3,184.7,233.4,0,1123.8,-50.5,,,,,,,,,,,,,,,,,,
2007-07-01,8902.7,7696.6,574.6,773.6,1319.1,183.3,475.4,1492.7,76.8,765.5,317,907.2,369.1,196.6,245.6,0,1263.5,-57.3,,,,,,,,,,,,,,,,,,
