,1998г.,1999г.,2000г.,2001г.,2002г.,2003г.,2004г.,2005г.,2006г.,2007г.,2008г.,2009г.,2010г.,2011г.,2012г.,2013г.,2014г.,2015г.,2016г.*)
Валовой региональный продукт по субъектам Российской Федерации (валовая добавленная стоимость в основных ценах),"2,251,977.5","3,827,375.5","5,753,671.6","7,170,968.2","8,741,219.2","10,742,423.3","13,964,305.4","18,034,385.2","22,492,119.6","27,963,955.6","33,908,756.7","32,007,228.1","37,687,768.2","45,392,276.7","49,926,068.7","54,103,000.3","59,188,270.3","65,750,633.6","69,254,134.3"
Белгородская область,"18,245.5","32,060.6","42,074.5","49,941.8","62,404.4","76,054.5","114,409.3","144,987.8","178,846.1","237,013.3","317,656.3","304,345.3","398,361.4","507,839.8","545,517.2","569,006.4","619,677.7","693,379.4","730,562.0"
Брянская область,"11,051.3","16,809.4","24,650.5","30,110.3","37,374.1","43,700.3","51,003.4","66,692.3","82,100.4","102,706.2","125,834.4","126,477.4","147,024.0","174,211.8","207,397.5","219,502.8","242,722.4","271,782.5","285,847.9"
Владимирская область,"14,936.9","24,481.0","33,017.7","42,075.4","50,359.9","61,818.6","74,207.0","86,926.8","112,841.7","146,663.0","175,395.7","185,824.6","224,759.2","261,222.6","286,018.6","306,641.4","328,064.2","368,489.2","392,051.8"
Воронежская область,"22,381.9","36,278.8","49,523.9","60,014.6","83,001.1","100,143.3","117,197.6","133,586.6","166,176.5","222,811.9","287,072.1","301,729.1","346,568.2","474,973.9","563,965.4","611,720.4","717,667.2","805,969.6","841,375.7"
Ивановская область,"8,278.4","11,743.6","16,900.0","22,175.9","26,981.3","33,214.6","40,159.4","44,415.4","55,090.0","74,752.0","86,980.3","87,061.9","109,884.5","128,905.4","136,115.0","158,228.7","151,876.8","180,517.5","179,633.4"
Калужская область,"10,097.3","16,009.8","23,903.3","31,860.0","37,283.1","48,792.7","57,993.8","70,953.9","86,150.5","111,869.0","150,394.4","154,946.1","188,601.3","234,749.0","285,256.6","292,841.0","326,459.5","339,760.8","373,403.5"
Костромская область,"8,478.9","13,363.6","16,662.2","22,221.5","25,952.9","29,692.1","37,787.4","44,684.7","54,351.1","65,700.4","81,040.7","78,920.7","98,130.7","116,629.8","130,840.4","139,015.9","146,731.5","160,579.8","160,705.4"
Курская область,"15,507.9","22,033.9","30,167.7","36,399.8","45,309.4","56,383.1","76,506.1","86,624.9","104,035.7","128,799.0","167,865.8","161,570.9","193,648.6","228,851.4","248,213.1","271,542.5","298,287.3","336,999.4","364,601.7"
Липецкая область,"16,400.5","31,008.7","48,067.7","50,574.1","70,590.5","96,241.9","141,778.3","145,194.4","179,057.3","209,821.5","259,532.2","226,662.0","248,544.9","287,816.8","293,301.3","315,685.4","398,464.5","448,994.3","470,239.3"
Московская область,"82,056.8","131,178.3","176,693.6","235,159.6","312,950.0","412,089.3","535,204.4","708,062.1","934,328.9","1,295,649.9","1,645,753.0","1,519,446.3","1,832,867.3","2,176,795.3","2,357,081.9","2,545,951.5","2,742,886.1","3,180,924.6","3,565,258.0"
Орловская область,"9,506.9","15,800.0","22,160.8","27,624.8","35,657.4","42,073.3","46,042.3","53,181.9","64,801.6","77,101.2","96,669.9","90,623.6","106,196.7","131,198.2","146,103.2","164,797.0","178,822.5","208,237.9","213,924.0"
Рязанская область,"12,943.8","20,108.1","27,956.5","37,054.3","45,797.5","59,607.2","69,996.0","84,382.7","105,491.9","121,305.2","150,151.2","153,634.1","179,127.9","214,142.6","253,881.6","279,286.5","295,611.7","323,131.8","336,973.5"
Смоленская область,"11,630.9","20,564.9","28,140.6","36,016.3","42,166.1","49,085.7","56,113.9","65,525.6","79,043.4","95,703.4","121,601.3","125,348.9","154,681.1","180,811.5","201,817.0","225,887.1","234,710.1","256,706.8","262,318.0"
Тамбовская область,"9,871.3","16,750.9","23,387.3","31,086.6","38,897.8","46,877.7","56,775.0","63,614.8","79,766.2","106,039.6","120,836.0","136,323.9","143,902.4","173,283.1","203,331.5","236,335.9","285,656.5","317,213.7","311,433.4"
Тверская область,"16,784.0","25,703.4","35,341.1","46,986.4","55,732.6","68,805.3","88,081.5","96,897.4","127,363.8","156,034.6","192,283.0","197,687.0","219,004.9","255,073.0","268,063.9","298,669.2","316,613.2","329,616.0","359,345.1"
Тульская область,"17,890.5","28,602.2","42,061.3","52,891.2","65,416.3","72,258.0","88,119.6","116,221.2","142,240.1","174,110.9","231,730.8","214,925.4","237,629.2","279,879.3","311,240.3","348,034.8","411,122.3","477,537.8","517,740.8"
Ярославская область,"19,811.3","33,337.4","41,756.2","61,149.6","75,313.4","92,073.4","112,438.7","131,252.1","153,251.5","186,577.5","214,946.3","212,684.4","239,644.0","286,967.5","327,279.6","362,861.8","391,462.8","443,054.1","469,804.9"
Республика Карелия,"11,241.6","20,040.4","28,214.6","33,721.2","41,362.4","46,588.9","53,964.1","77,124.8","84,228.3","104,603.3","115,208.2","105,924.1","120,511.3","154,953.7","160,841.5","178,636.2","191,192.1","212,049.5","233,449.8"
Республика Коми,"29,127.5","43,810.6","59,473.1","78,276.5","86,019.4","107,149.0","131,588.0","171,307.2","218,490.7","241,150.5","291,812.1","302,629.2","353,853.0","435,959.3","479,051.3","482,329.9","484,166.5","528,403.4","546,895.3"
Архангельская область,"22,435.5","35,928.4","61,806.9","67,274.7","83,158.8","103,951.3","142,564.7","166,433.4","215,932.7","268,672.1","289,755.9","323,606.8","372,804.8","439,116.8","472,470.9","500,095.1","542,695.3","627,698.1","683,360.0"
Вологодская область,"23,748.4","44,974.4","69,195.5","65,425.3","80,731.9","107,544.6","161,378.6","193,966.1","201,939.2","243,336.3","294,926.2","213,396.9","262,432.7","323,067.9","355,291.3","346,227.6","387,211.7","478,893.0","486,211.3"
