date,AKTOTAL,ALTOTAL,ARTOTAL,AZTOTAL,CATOTAL,COTOTAL,CTTOTAL,DCTOTAL,DETOTAL,FLTOTAL,GATOTAL,HITOTAL,IATOTAL,IDTOTAL,ILTOTAL,INTOTAL,KSTOTAL,KYTOTAL,LATOTAL,MATOTAL,MDTOTAL,METOTAL,MITOTAL,MNTOTAL,MOTOTAL,MSTOTAL,MTTOTAL,NCTOTAL,NDTOTAL,NETOTAL,NHTOTAL,NJTOTAL,NMTOTAL,NVTOTAL,NYTOTAL,OHTOTAL,OKTOTAL,ORTOTAL,PATOTAL,RITOTAL,SCTOTAL,SDTOTAL,TNTOTAL,TXTOTAL,UTTOTAL,VATOTAL,VTTOTAL,WATOTAL,WITOTAL,WVTOTAL,WYTOTAL
2005-01-01,40299.0,169741.0,97934.0,243828.0,1881001.0,238315.0,230302.0,92533.0,56408.0,759054.0,421722.0,64189.0,134575.0,50451.0,644125.0,266609.0,114130.0,157583.0,215236.0,374728.0,285634.0,51175.0,434494.0,266036.0,246437.0,88496.0,33698.0,387957.0,26487.0,80027.0,62327.0,489556.0,79624.0,130226.0,1099738.0,509369.0,133345.0,152395.0,554887.0,49974.0,158673.0,32776.0,248522.0,1042577.0,99949.0,389232.0,25743.0,321178.0,248658.0,60643.0,29404.0
2005-04-01,40880.0,172087.0,98631.0,249334.0,1900029.0,238490.0,232759.0,92688.0,55141.0,765003.0,424259.0,64329.0,135279.0,50832.0,645425.0,269373.0,114711.0,159892.0,219050.0,374903.0,288206.0,51365.0,433570.0,266012.0,247673.0,88751.0,33674.0,389691.0,26635.0,80636.0,62770.0,490382.0,80049.0,134222.0,1116888.0,510917.0,134424.0,152537.0,559496.0,50356.0,159752.0,32699.0,249121.0,1042875.0,101022.0,395633.0,25755.0,325906.0,249939.0,61690.0,30320.0
2005-07-01,40687.0,171819.0,99020.0,255025.0,1925404.0,239564.0,230793.0,92335.0,54984.0,784885.0,424545.0,64838.0,136117.0,51674.0,649122.0,270114.0,115495.0,160714.0,213824.0,378311.0,293677.0,51288.0,429169.0,270265.0,247862.0,89139.0,33912.0,393154.0,26641.0,81458.0,63464.0,493184.0,79316.0,133536.0,1123813.0,514468.0,134091.0,153558.0,563482.0,50230.0,159881.0,33215.0,252314.0,1045285.0,102959.0,400084.0,25824.0,323827.0,252599.0,61186.0,29257.0
2005-10-01,41203.0,173245.0,100990.0,256555.0,1934915.0,237298.0,232436.0,92444.0,61742.0,783156.0,429331.0,65939.0,134195.0,52108.0,645696.0,269448.0,113976.0,161011.0,212369.0,377489.0,294807.0,51697.0,428301.0,267592.0,249467.0,91772.0,34542.0,397645.0,26899.0,82434.0,62604.0,491486.0,79393.0,135048.0,1136779.0,514137.0,132735.0,156595.0,564890.0,50960.0,160450.0,33957.0,253381.0,1057319.0,105600.0,400325.0,26020.0,329511.0,250022.0,61359.0,29567.0
2006-01-01,42086.0,173722.0,100548.0,261856.0,1972848.0,243162.0,239096.0,93478.0,58163.0,793973.0,428296.0,65810.0,135374.0,53269.0,664902.0,272062.0,119223.0,163541.0,212040.0,380630.0,295907.0,51627.0,425671.0,266379.0,249435.0,90120.0,34509.0,409514.0,27317.0,82430.0,63342.0,495348.0,81269.0,137188.0,1149754.0,511099.0,146209.0,165120.0,556434.0,50511.0,162185.0,33263.0,255383.0,1091234.0,108196.0,406721.0,26147.0,333695.0,252700.0,61895.0,31547.0
2006-04-01,43183.0,174750.0,101996.0,262904.0,1968095.0,241349.0,236882.0,93558.0,59140.0,796058.0,428695.0,66303.0,137903.0,54698.0,660610.0,273333.0,120778.0,164805.0,211385.0,382760.0,295611.0,52145.0,426272.0,271376.0,252003.0,91901.0,34886.0,413457.0,27899.0,85251.0,63197.0,502730.0,80850.0,139297.0,1142523.0,513147.0,141762.0,166684.0,561509.0,51761.0,162412.0,33873.0,258214.0,1104588.0,109979.0,407145.0,26178.0,334391.0,254561.0,62335.0,32616.0
2006-07-01,43687.0,175038.0,101291.0,267239.0,1975172.0,244458.0,235764.0,95333.0,58578.0,795787.0,431865.0,66632.0,136499.0,54046.0,660892.0,274872.0,120469.0,164226.0,211550.0,379338.0,297256.0,51773.0,424224.0,264036.0,249747.0,91926.0,35286.0,414865.0,27740.0,83101.0,63488.0,499613.0,80607.0,137874.0,1138269.0,512057.0,139367.0,169300.0,566155.0,52048.0,162305.0,33788.0,256340.0,1114614.0,111937.0,405394.0,26009.0,337975.0,254383.0,62214.0,33941.0
2006-10-01,44865.0,175191.0,100276.0,271195.0,1985713.0,243717.0,237378.0,92835.0,57351.0,806171.0,432896.0,66509.0,137934.0,54946.0,668126.0,276027.0,121311.0,163192.0,211164.0,388144.0,297413.0,52462.0,418163.0,263926.0,248901.0,92230.0,35437.0,417503.0,28127.0,82879.0,65668.0,500237.0,80683.0,138582.0,1151601.0,508823.0,138968.0,170703.0,568912.0,50895.0,163736.0,33209.0,257298.0,1136775.0,114419.0,403468.0,25699.0,342000.0,253823.0,62215.0,34502.0
2007-01-01,45225.0,173546.0,98011.0,269904.0,1972150.0,244731.0,247384.0,95015.0,57698.0,794128.0,427909.0,66594.0,139967.0,55078.0,669158.0,275956.0,124507.0,161458.0,205596.0,388038.0,295405.0,51273.0,422956.0,263374.0,246230.0,92105.0,36115.0,413002.0,28887.0,83982.0,63621.0,496103.0,79820.0,136900.0,1180052.0,510821.0,141556.0,167795.0,575266.0,51050.0,163982.0,35880.0,250348.0,1143419.0,114926.0,405952.0,25674.0,344447.0,253901.0,61736.0,34533.0
2007-04-01,46180.0,174853.0,99036.0,272709.0,1988832.0,248273.0,246888.0,95162.0,59355.0,798458.0,433071.0,66633.0,143108.0,55630.0,669357.0,280760.0,125810.0,162254.0,204715.0,390542.0,298241.0,51901.0,421588.0,268323.0,250259.0,92571.0,36748.0,412287.0,28749.0,84646.0,64931.0,504106.0,80707.0,136805.0,1146058.0,509939.0,143744.0,170641.0,578914.0,49978.0,166778.0,35266.0,252276.0,1170047.0,118333.0,406157.0,25852.0,355047.0,255033.0,62036.0,34971.0
