"","date","value"
"1",1947-01-01,2033.061
"2",1947-04-01,2027.639
"3",1947-07-01,2023.452
"4",1947-10-01,2055.103
"5",1948-01-01,2086.017
"6",1948-04-01,2120.45
"7",1948-07-01,2132.598
"8",1948-10-01,2134.981
"9",1949-01-01,2105.562
"10",1949-04-01,2098.38
"11",1949-07-01,2120.044
"12",1949-10-01,2102.251
"13",1950-01-01,2184.872
"14",1950-04-01,2251.507
"15",1950-07-01,2338.514
"16",1950-10-01,2383.291
"17",1951-01-01,2415.66
"18",1951-04-01,2457.517
"19",1951-07-01,2508.166
"20",1951-10-01,2513.69
"21",1952-01-01,2540.55
"22",1952-04-01,2546.022
"23",1952-07-01,2564.401
"24",1952-10-01,2648.621
"25",1953-01-01,2697.855
"26",1953-04-01,2718.709
"27",1953-07-01,2703.411
"28",1953-10-01,2662.482
"29",1954-01-01,2649.755
"30",1954-04-01,2652.643
"31",1954-07-01,2682.601
"32",1954-10-01,2735.091
"33",1955-01-01,2813.212
"34",1955-04-01,2858.988
"35",1955-07-01,2897.598
"36",1955-10-01,2914.993
"37",1956-01-01,2903.671
"38",1956-04-01,2927.665
"39",1956-07-01,2925.035
"40",1956-10-01,2973.179
"41",1957-01-01,2992.219
"42",1957-04-01,2985.663
"43",1957-07-01,3014.919
"44",1957-10-01,2983.727
"45",1958-01-01,2906.274
"46",1958-04-01,2925.379
"47",1958-07-01,2993.068
"48",1958-10-01,3063.085
"49",1959-01-01,3121.936
"50",1959-04-01,3192.38
"51",1959-07-01,3194.653
"52",1959-10-01,3203.759
"53",1960-01-01,3275.757
"54",1960-04-01,3258.088
"55",1960-07-01,3274.029
"56",1960-10-01,3232.009
"57",1961-01-01,3253.826
"58",1961-04-01,3309.059
"59",1961-07-01,3372.581
"60",1961-10-01,3438.721
"61",1962-01-01,3500.054
"62",1962-04-01,3531.683
"63",1962-07-01,3575.07
"64",1962-10-01,3586.827
"65",1963-01-01,3625.981
"66",1963-04-01,3666.669
"67",1963-07-01,3747.278
"68",1963-10-01,3771.845
"69",1964-01-01,3851.366
"70",1964-04-01,3893.296
"71",1964-07-01,3954.121
"72",1964-10-01,3966.335
"73",1965-01-01,4062.311
"74",1965-04-01,4113.629
"75",1965-07-01,4205.086
"76",1965-10-01,4301.973
"77",1966-01-01,4406.693
"78",1966-04-01,4421.747
"79",1966-07-01,4459.195
"80",1966-10-01,4495.777
"81",1967-01-01,4535.591
"82",1967-04-01,4538.37
"83",1967-07-01,4581.309
"84",1967-10-01,4615.853
"85",1968-01-01,4709.993
"86",1968-04-01,4788.688
"87",1968-07-01,4825.799
"88",1968-10-01,4844.779
"89",1969-01-01,4920.605
"90",1969-04-01,4935.564
"91",1969-07-01,4968.164
"92",1969-10-01,4943.935
"93",1970-01-01,4936.594
"94",1970-04-01,4943.6
"95",1970-07-01,4989.159
"96",1970-10-01,4935.693
"97",1971-01-01,5069.746
"98",1971-04-01,5097.179
"99",1971-07-01,5139.128
"100",1971-10-01,5151.245
"101",1972-01-01,5245.974
"102",1972-04-01,5365.045
"103",1972-07-01,5415.712
"104",1972-10-01,5506.396
"105",1973-01-01,5642.669
"106",1973-04-01,5704.098
"107",1973-07-01,5674.1
"108",1973-10-01,5727.96
"109",1974-01-01,5678.713
"110",1974-04-01,5692.21
"111",1974-07-01,5638.411
"112",1974-10-01,5616.526
"113",1975-01-01,5548.156
"114",1975-04-01,5587.8
"115",1975-07-01,5683.444
"116",1975-10-01,5759.972
"117",1976-01-01,5889.5
"118",1976-04-01,5932.711
"119",1976-07-01,5965.265
"120",1976-10-01,6008.504
"121",1977-01-01,6079.494
"122",1977-04-01,6197.686
"123",1977-07-01,6309.514
"124",1977-10-01,6309.652
"125",1978-01-01,6329.791
"126",1978-04-01,6574.39
"127",1978-07-01,6640.497
"128",1978-10-01,6729.755
"129",1979-01-01,6741.854
"130",1979-04-01,6749.063
"131",1979-07-01,6799.2
"132",1979-10-01,6816.203
"133",1980-01-01,6837.641
"134",1980-04-01,6696.753
"135",1980-07-01,6688.794
"136",1980-10-01,6813.535
"137",1981-01-01,6947.042
"138",1981-04-01,6895.559
"139",1981-07-01,6978.135
"140",1981-10-01,6902.105
"141",1982-01-01,6794.878
"142",1982-04-01,6825.876
"143",1982-07-01,6799.781
"144",1982-10-01,6802.497
"145",1983-01-01,6892.144
"146",1983-04-01,7048.982
"147",1983-07-01,7189.896
"148",1983-10-01,7339.893
"149",1984-01-01,7483.371
"150",1984-04-01,7612.668
"151",1984-07-01,7686.059
"152",1984-10-01,7749.151
"153",1985-01-01,7824.247
"154",1985-04-01,7893.136
"155",1985-07-01,8013.674
"156",1985-10-01,8073.239
"157",1986-01-01,8148.603
"158",1986-04-01,8185.303
"159",1986-07-01,8263.639
"160",1986-10-01,8308.021
"161",1987-01-01,8369.93
"162",1987-04-01,8460.233
"163",1987-07-01,8533.635
"164",1987-10-01,8680.162
"165",1988-01-01,8725.006
"166",1988-04-01,8839.641
"167",1988-07-01,8891.435
"168",1988-10-01,9009.913
"169",1989-01-01,9101.508
"170",1989-04-01,9170.977
"171",1989-07-01,9238.923
"172",1989-10-01,9257.128
"173",1990-01-01,9358.289
"174",1990-04-01,9392.251
"175",1990-07-01,9398.499
"176",1990-10-01,9312.937
"177",1991-01-01,9269.367
"178",1991-04-01,9341.642
"179",1991-07-01,9388.845
"180",1991-10-01,9421.565
"181",1992-01-01,9534.346
"182",1992-04-01,9637.732
"183",1992-07-01,9732.979
"184",1992-10-01,9834.51
"185",1993-01-01,9850.973
"186",1993-04-01,9908.347
"187",1993-07-01,9955.641
"188",1993-10-01,10091.049
"189",1994-01-01,10188.954
"190",1994-04-01,10327.019
"191",1994-07-01,10387.382
"192",1994-10-01,10506.372
"193",1995-01-01,10543.644
"194",1995-04-01,10575.1
"195",1995-07-01,10665.06
"196",1995-10-01,10737.478
"197",1996-01-01,10817.896
"198",1996-04-01,10998.322
"199",1996-07-01,11096.976
"200",1996-10-01,11212.205
"201",1997-01-01,11284.587
"202",1997-04-01,11472.137
"203",1997-07-01,11615.636
"204",1997-10-01,11715.393
"205",1998-01-01,11832.486
"206",1998-04-01,11942.032
"207",1998-07-01,12091.614
"208",1998-10-01,12287
"209",1999-01-01,12403.293
"210",1999-04-01,12498.694
"211",1999-07-01,12662.385
"212",1999-10-01,12877.593
"213",2000-01-01,12924.179
"214",2000-04-01,13160.842
"215",2000-07-01,13178.419
"216",2000-10-01,13260.506
"217",2001-01-01,13222.69
"218",2001-04-01,13299.984
"219",2001-07-01,13244.784
"220",2001-10-01,13280.859
"221",2002-01-01,13397.002
"222",2002-04-01,13478.152
"223",2002-07-01,13538.072
"224",2002-10-01,13559.032
"225",2003-01-01,13634.253
"226",2003-04-01,13751.543
"227",2003-07-01,13985.073
"228",2003-10-01,14145.645
"229",2004-01-01,14221.147
"230",2004-04-01,14329.523
"231",2004-07-01,14464.984
"232",2004-10-01,14609.876
"233",2005-01-01,14771.602
"234",2005-04-01,14839.782
"235",2005-07-01,14972.054
"236",2005-10-01,15066.597
"237",2006-01-01,15267.026
"238",2006-04-01,15302.705
"239",2006-07-01,15326.368
"240",2006-10-01,15456.928
"241",2007-01-01,15493.328
"242",2007-04-01,15582.085
"243",2007-07-01,15666.738
"244",2007-10-01,15761.967
"245",2008-01-01,15671.383
"246",2008-04-01,15752.308
"247",2008-07-01,15667.032
"248",2008-10-01,15328.027
"249",2009-01-01,15155.94
"250",2009-04-01,15134.117
"251",2009-07-01,15189.222
"252",2009-10-01,15356.058
"253",2010-01-01,15415.145
"254",2010-04-01,15557.277
"255",2010-07-01,15671.967
"256",2010-10-01,15750.625
"257",2011-01-01,15712.754
"258",2011-04-01,15825.096
"259",2011-07-01,15820.7
"260",2011-10-01,16004.107
"261",2012-01-01,16129.418
"262",2012-04-01,16198.807
"263",2012-07-01,16220.667
"264",2012-10-01,16239.138
"265",2013-01-01,16382.964
"266",2013-04-01,16403.18
"267",2013-07-01,16531.685
"268",2013-10-01,16663.649
"269",2014-01-01,16621.696
"270",2014-04-01,16830.111
"271",2014-07-01,17033.572
"272",2014-10-01,17113.945
"273",2015-01-01,17254.744
"274",2015-04-01,17397.029
"275",2015-07-01,17438.802
"276",2015-10-01,17456.225
"277",2016-01-01,17523.374
"278",2016-04-01,17622.486
"279",2016-07-01,17706.705
"280",2016-10-01,17784.185
"281",2017-01-01,17863.023
"282",2017-04-01,17995.15
"283",2017-07-01,18120.843
"284",2017-10-01,18223.758
"285",2018-01-01,18323.963
"286",2018-04-01,18511.576
"287",2018-07-01,18664.973
