GDP,Geography,Industry,Quarter
"5,035",Alabama,Accommodation and food services,2015 Q1
"1,238",Alaska,Accommodation and food services,2015 Q1
"9,105",Arizona,Accommodation and food services,2015 Q1
"2,609",Arkansas,Accommodation and food services,2015 Q1
"57,849",California,Accommodation and food services,2015 Q1
"9,144",Colorado,Accommodation and food services,2015 Q1
"4,850",Connecticut,Accommodation and food services,2015 Q1
"1,203",Delaware,Accommodation and food services,2015 Q1
"3,576",District of Columbia,Accommodation and food services,2015 Q1
"97,328",Far West,Accommodation and food services,2015 Q1
"34,262",Florida,Accommodation and food services,2015 Q1
"12,147",Georgia,Accommodation and food services,2015 Q1
"53,618",Great Lakes,Accommodation and food services,2015 Q1
"5,763",Hawaii,Accommodation and food services,2015 Q1
"1,531",Idaho,Accommodation and food services,2015 Q1
"17,161",Illinois,Accommodation and food services,2015 Q1
"6,774",Indiana,Accommodation and food services,2015 Q1
"3,259",Iowa,Accommodation and food services,2015 Q1
"3,239",Kansas,Accommodation and food services,2015 Q1
"4,624",Kentucky,Accommodation and food services,2015 Q1
"6,723",Louisiana,Accommodation and food services,2015 Q1
"1,800",Maine,Accommodation and food services,2015 Q1
"8,235",Maryland,Accommodation and food services,2015 Q1
"11,198",Massachusetts,Accommodation and food services,2015 Q1
"11,111",Michigan,Accommodation and food services,2015 Q1
"70,318",Mideast,Accommodation and food services,2015 Q1
"7,095",Minnesota,Accommodation and food services,2015 Q1
"3,452",Mississippi,Accommodation and food services,2015 Q1
"7,022",Missouri,Accommodation and food services,2015 Q1
"1,429",Montana,Accommodation and food services,2015 Q1
"2,050",Nebraska,Accommodation and food services,2015 Q1
"17,531",Nevada,Accommodation and food services,2015 Q1
"22,740",New England,Accommodation and food services,2015 Q1
"1,990",New Hampshire,Accommodation and food services,2015 Q1
"10,972",New Jersey,Accommodation and food services,2015 Q1
"2,433",New Mexico,Accommodation and food services,2015 Q1
"32,759",New York,Accommodation and food services,2015 Q1
"10,692",North Carolina,Accommodation and food services,2015 Q1
"1,170",North Dakota,Accommodation and food services,2015 Q1
"12,318",Ohio,Accommodation and food services,2015 Q1
"4,020",Oklahoma,Accommodation and food services,2015 Q1
"4,959",Oregon,Accommodation and food services,2015 Q1
"13,572",Pennsylvania,Accommodation and food services,2015 Q1
"24,953",Plains,Accommodation and food services,2015 Q1
"1,599",Rhode Island,Accommodation and food services,2015 Q1
