,Unnamed: 0,reg,name,test,label,data_exmple_corr,name_short
0,1,Кали,Калининградская область,6.2,Кали 17.55,17.55,Калинин
1,2,Крым,Республика Крым,10.0,Крым 22.65,22.65,Крым
2,3,Бря,Брянская область,5.4,Бря 19.45,19.45,Брянска
3,4,Смол,Смоленская область,5.2,Смол 17.51,17.51,Смоленс
4,5,Пск,Псковская область,7.1,Пск 18.71,18.71,Псковск
5,6,Лен,Ленинградская область,4.1,Лен 13.75,13.75,Ленингр
6,7,Крл,Республика Карелия,5.1,Крл 13.09,13.09,Карелия
7,8,Крч,Карачаево-Черкесская Республика,9.7,Крч 18.61,18.61,Карачае
8,9,Адыг,Республика Адыгея,7.9,Адыг 16.99,16.99,Адыгея
9,10,Крск,Курская область,5.5,Крск 17.48,17.48,Курская
10,11,Орл,Орловская область,5.4,Орл 17.49,17.49,Орловск
11,12,Клж,Калужская область,4.7,Клж 13.18,13.18,Калужск
12,13,Твер,Тверская область,6.9,Твер 17.11,17.11,Тверска
13,14,Новг,Новгородская область,5.4,Новг 14.43,14.43,Новгоро
14,15,Мрм,Мурманская область,2.5,Мрм 9.87,9.87,Мурманс
15,16,Кбр,Кабардино-Балкарская Республика,8.5,Кбр 21.13,21.13,Кабарди
16,17,Крсн,Краснодарский край,6.9,Крсн 22.51,22.51,Краснод
17,18,Бел,Белгородская область,4.9,Бел 17.98,17.98,Белгоро
18,19,Лип,Липецкая область,4.7,Лип 16.52,16.52,Липецка
19,20,Тул,Тульская область,5.1,Тул 15.49,15.49,Тульска
20,21,Мобл,Московская область,4.7,Мобл 14.3,14.3,Московс
21,22,Ярсл,Ярославская область,3.9,Ярсл 15.63,15.63,Ярослав
22,23,Осет,Республика Северная Осетия - Алания,8.0,Осет 18.97,18.97,Северна
23,24,Став,Ставропольский край,4.6,Став 22.65,22.65,Ставроп
24,25,Рос,Ростовская область,7.2,Рос 22.34,22.34,Ростовс
25,26,Врн,Воронежская область,5.4,Врн 19.45,19.45,Воронеж
26,27,Тмб,Тамбовская область,5.8,Тмб 18.92,18.92,Тамбовс
27,28,Ряз,Рязанская область,4.9,Ряз 16.02,16.02,Рязанск
28,29,Влад,Владимирская область,5.0,Влад 17.75,17.75,Владими
29,30,Влгд,Вологодская область,4.0,Влгд 15.23,15.23,Вологод
30,31,Инг,Республика Ингушетия,7.2,Инг 19.24,19.24,Ингушет
31,32,Клм,Республика Калмыкия,7.3,Клм 16.43,16.43,Калмыки
32,33,Волг,Волгоградская область,5.2,Волг 20.69,20.69,Волгогр
33,34,Пнз,Пензенская область,5.8,Пнз 18.78,18.78,Пензенс
34,35,Мрд,Республика Мордовия,6.6,Мрд 18.31,18.31,Мордови
35,36,Нижн,Нижегородская область,7.1,Нижн 19.07,19.07,Нижегор
36,37,Ивн,Ивановская область,7.6,Ивн 19.46,19.46,Ивановс
37,38,Арх,Архангельская область,4.9,Арх 13.08,13.08,Арханге
38,39,Чеч,Чеченская Республика,10.5,Чеч 23.45,23.45,Чеченск
39,40,Даг,Республика Дагестан,10.7,Даг 29.44,29.44,Дагеста
40,41,Аст,Астраханская область,4.9,Аст 16.99,16.99,Астраха
41,42,Сар,Саратовская область,5.6,Сар 23.05,23.05,Саратов
42,43,Смр,Самарская область,4.7,Смр 19.7,19.7,Самарск
43,44,Уль,Ульяновская область,6.6,Уль 18.74,18.74,Ульянов
44,45,Чвш,Чувашская Республика,9.0,Чвш 19.9,19.9,Чувашск
45,46,Кстр,Костромская область,5.5,Кстр 17.1,17.1,Костром
46,47,Тат,Республика Татарстан,6.9,Тат 19.05,19.05,Татарст
47,48,Мрл,Республика Марий Эл,6.6,Мрл 17.1,17.1,МарийЭл
48,49,Кир,Кировская область,6.5,Кир 20.07,20.07,Кировск
49,50,Коми,Республика Коми,3.5,Коми 10.6,10.6,КомиРес
50,51,Орнб,Оренбургская область,5.0,Орнб 20.68,20.68,Оренбур
