,values,values,values,values,values,values,values,values,values,values,values,values
geo,Austria,Cyprus,Czechia,Finland,France,Hungary,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Switzerland
time,,,,,,,,,,,,
1980-01-01,,,,,502619.30000000005,,,,,,,
1980-04-01,,,,,507704.69999999995,,,,,,,
1980-07-01,,,,,482302.6,,,,,,,
1980-10-01,,,,,517619.4,,,,,,,
1981-01-01,,,,,505123.9,,,,,,,
1981-04-01,,,,,511921.0,,,,,,,
1981-07-01,,,,,487770.19999999995,,,,,,,
1981-10-01,,,,,527013.3,,,,,,,
1982-01-01,,,,,515620.0,,,,,,,
1982-04-01,,,,,524772.7000000001,,,,,,,
1982-07-01,,,,,496679.79999999993,,,,,,,
1982-10-01,,,,,536626.2999999999,,,,,,,
1983-01-01,,,,,525110.2,,,,,,,
1983-04-01,,,,,531671.6,,,,,,,
1983-07-01,,,,,504755.1000000001,,,,,,,
1983-10-01,,,,,540532.0,,,,,,,
1984-01-01,,,,,532330.8,,,,,,,
1984-04-01,,,,,537514.6000000001,,,,,,,
1984-07-01,,,,,514171.39999999997,,,,,,,
1984-10-01,,,,,551313.7000000001,,,,,,,
1985-01-01,,,,,539010.8,,,,,,,
1985-04-01,,,,,546630.3,,,,,,,
1985-07-01,,,,,522890.60000000003,,,,,,,
1985-10-01,,,,,559798.3999999999,,,,,,,
1986-01-01,,,,,548875.8,,,,,,,
1986-04-01,,,,,557092.2,,,,,,,
1986-07-01,,,,,530534.3,,,,,,,
1986-10-01,,,,,570282.8,,,,,,,
1987-01-01,,,,,555981.6,,,,,,,
1987-04-01,,,,,564973.6000000001,,,,,,,
1987-07-01,,,,,542905.8,,,,,,,
1987-10-01,,,,,588441.1,,,,,,,
1988-01-01,,,,,578670.7,,,,,,,
1988-04-01,,,,,589403.3,,,,,,,
1988-07-01,,,,,571064.4,,,,,,,
1988-10-01,,,,,608907.6,,,,,,,
1989-01-01,,,,,604525.7,,,,,,,
1989-04-01,,,,,614102.3999999999,,,,,,,
1989-07-01,,,,,595244.3,,,,,,,
1989-10-01,,,,,641554.0,,,,,,,
1990-01-01,,,,53174.6,626037.8999999999,,,,,,,114819.29999999999
1990-04-01,,,,56245.5,638578.1,,,,,,,116152.9
1990-07-01,,,,54562.8,614745.3,,,,,,,115132.19999999998
1990-10-01,,,,56898.7,651811.3,,,,,,,115658.5
1991-01-01,,,,49949.2,637069.3,,,,,,,114430.1
1991-04-01,,,,52709.2,645389.7,,,,,,,115282.1
1991-07-01,,,,51214.8,619824.3999999999,,,,,,,114835.0
1991-10-01,,,,53380.8,655675.0,,,,,,,115738.90000000001
