0,Белгородская,Брянская,Владимирская,Воронежская,Ивановская,Калужская,Костромская,Курская,Липецкая,Московская,Орловская,Рязанская,Смоленская,Тамбовская,Тверская,Тульская,Ярославская,Карелия,Коми,Архангельская,Вологодская,Калининградская,Ленинградская,Мурманская,Новгородская,Псковская,Адыгея,Калмыкия,Крым,Краснодарский,Астраханская,Волгоградская,Ростовская,Дагестан,Ингушетия,Кабардино-Балкарская,Карачаево-Черкесская,СевернаяОсетия-Алания,Чеченская,Ставропольский,Башкортостан,МарийЭл,Мордовия,Татарстан,Удмуртская,Чувашская,Пермский,Кировская,Нижегородская,Оренбургская,Пензенская,Самарская,Саратовская,Ульяновская,Курганская,Свердловская,Тюменская,Челябинская,Алтай,Бурятия,Тыва,Хакасия,Алтайский,Забайкальский,Красноярский,Иркутская,Кемеровская,Новосибирская,Омская,Томская,Саха,Камчатский,Приморский,Хабаровский,Амурская,Магаданская,Сахалинская,Еврейская,Чукотский
1998,18245.5,11051.3,14936.9,22381.9,8278.4,10097.3,8478.9,15507.9,16400.5,82056.8,9506.9,12943.8,11630.9,9871.3,16784.0,17890.5,19811.3,11241.6,29127.5,22435.5,23748.4,8405.8,21515.9,22675.9,9361.0,6161.2,3112.6,1525.3,,51621.9,10356.3,30261.5,37891.8,8480.3,1025.2,5723.1,2817.3,3909.6,,28279.8,56529.0,6108.1,8347.2,65727.8,18923.4,11152.5,52127.6,15717.5,47409.5,27271.2,10545.5,67519.9,27716.1,14786.5,9466.4,73056.0,188611.3,44611.9,1527.6,11140.0,1958.5,8158.8,21365.9,12864.6,70150.1,50422.2,42890.2,34399.0,26855.0,20288.1,33632.4,11678.2,31373.1,29309.6,14436.1,6983.4,12610.5,1510.1,2635.0
1999,32060.6,16809.4,24481.0,36278.8,11743.6,16009.8,13363.6,22033.9,31008.7,131178.3,15800.0,20108.1,20564.9,16750.9,25703.4,28602.2,33337.4,20040.4,43810.6,35928.4,44974.4,15619.6,39742.8,40973.5,15726.4,11142.4,4524.8,2198.0,,98882.0,16032.8,44411.1,64207.2,13014.1,1635.9,9674.0,4207.9,6774.5,,38385.6,97653.6,9222.6,12160.6,108354.9,34596.0,16582.3,87331.7,25236.7,72132.0,51582.1,17825.2,105581.3,43799.6,23382.9,14770.6,112407.0,316194.7,79117.6,2186.2,16185.4,2727.9,13192.3,32430.6,20783.9,124516.5,77701.2,64491.4,52746.5,33734.7,26663.2,62750.8,14919.8,53242.2,40306.9,20676.3,10538.7,26269.9,3026.0,3198.7
2000,42074.5,24650.5,33017.7,49523.9,16900.0,23903.3,16662.2,30167.7,48067.7,176693.6,22160.8,27956.5,28140.6,23387.3,35341.1,42061.3,41756.2,28214.6,59473.1,61806.9,69195.5,23290.3,56001.9,55135.0,20965.5,16178.9,5519.6,6212.6,,137125.3,28115.7,63767.1,88955.0,20921.1,2618.5,14081.3,5461.5,8363.2,,53732.4,145125.0,11207.6,17553.4,186154.4,53307.4,22995.1,124142.2,35795.4,105055.9,76343.3,25218.7,140407.4,63068.2,30415.0,18705.2,156077.0,570790.2,120561.0,2737.5,21574.5,3594.1,17418.1,46736.8,30024.6,214662.7,103013.8,88728.1,72012.7,46028.4,40539.5,81960.4,18140.7,62088.5,64794.8,26315.2,13009.5,34777.0,3784.0,3931.4
2001,49941.8,30110.3,42075.4,60014.6,22175.9,31860.0,22221.5,36399.8,50574.1,235159.6,27624.8,37054.3,36016.3,31086.6,46986.4,52891.2,61149.6,33721.2,78276.5,67274.7,65425.3,32327.2,75858.6,57569.3,27501.0,19416.9,6641.8,6732.0,,179177.5,32274.3,82919.7,118762.5,31544.0,3604.3,19443.3,7324.8,12665.3,,67860.4,166974.8,15087.8,22089.5,213740.0,65551.4,30778.5,166803.4,41699.0,149322.6,85168.3,33262.6,180049.3,83665.7,38563.6,25379.6,199859.1,753119.2,142461.9,4499.4,30075.1,5197.2,20041.0,61854.4,35139.2,239420.0,120240.0,113800.2,95298.9,61535.7,57041.1,100922.4,23031.7,72826.1,79891.5,39052.8,17151.6,47140.1,4788.9,6944.6
2002,62404.4,37374.1,50359.9,83001.1,26981.3,37283.1,25952.9,45309.4,70590.5,312950.0,35657.4,45797.5,42166.1,38897.8,55732.6,65416.3,75313.4,41362.4,86019.4,83158.8,80731.9,40120.3,94747.0,68445.4,31466.8,24098.9,7909.9,7272.3,,217727.6,40994.9,104341.2,140773.3,41441.0,3582.1,22774.5,10234.5,15997.5,,80534.5,187842.2,17815.3,27508.0,250596.0,78346.3,37180.6,178091.0,49974.2,170826.5,94182.5,41623.4,206320.2,97326.4,45677.0,29940.8,234866.4,898722.4,172446.4,5310.6,37884.5,6847.4,25423.3,73107.4,44555.8,230994.9,140195.9,136156.7,123084.5,92628.7,75547.0,115117.1,25881.9,96832.3,101048.6,45717.5,22374.8,47139.8,6838.5,10155.4
2003,76054.5,43700.3,61818.6,100143.3,33214.6,48792.7,29692.1,56383.1,96241.9,412089.3,42073.3,59607.2,49085.7,46877.7,68805.3,72258.0,92073.4,46588.9,107149.0,103951.3,107544.6,46757.7,121222.3,80604.1,38081.7,29488.4,9849.3,6539.5,,248565.5,50659.8,128622.2,171849.0,57626.7,4756.6,25997.4,11481.1,18925.2,,101382.6,242920.5,22987.3,33244.0,305086.1,89034.5,45133.1,209275.7,57795.8,206926.0,115824.6,48111.5,256554.6,119909.0,55184.3,37046.2,284576.3,1117514.4,220185.2,6903.9,52253.7,8121.2,28969.2,88733.3,53145.5,272727.0,167927.1,164903.1,153798.9,115029.5,97084.3,132964.1,29747.0,119333.7,116318.1,53199.9,24325.9,63139.2,8564.6,13501.1
2004,114409.3,51003.4,74207.0,117197.6,40159.4,57993.8,37787.4,76506.1,141778.3,535204.4,46042.3,69996.0,56113.9,56775.0,88081.5,88119.6,112438.7,53964.1,131588.0,142564.7,161378.6,66552.1,166445.0,124972.0,49242.3,35816.0,12493.2,8518.5,,313623.6,56710.9,154337.7,221167.4,80712.4,6210.4,29052.9,13127.2,24268.0,,122235.4,310845.1,30085.6,38334.9,391116.0,100833.1,59573.8,266325.9,70706.2,241230.4,169876.7,59711.7,327118.5,151636.9,67501.0,42470.6,364368.8,1536733.7,291179.9,8516.7,63918.5,9838.5,33102.9,114840.5,61261.8,365454.1,213244.2,244462.0,191826.7,192877.3,132439.3,153496.7,35139.3,152301.1,133330.5,64250.2,24612.3,91729.6,11230.9,12357.8
2005,144987.8,66692.3,86926.8,133586.6,44415.4,70953.9,44684.7,86624.9,145194.4,708062.1,53181.9,84382.7,65525.6,63614.8,96897.4,116221.2,131252.1,77124.8,171307.2,166433.4,193966.1,81837.6,205416.9,132870.2,63848.3,40582.9,17029.1,9685.7,,372929.8,70127.6,203232.2,263051.5,90442.6,7419.3,36833.4,16724.3,31182.2,22898.9,146569.3,381646.5,33350.7,44267.0,482759.2,139995.3,69391.6,327273.3,79800.6,299723.7,213138.2,74362.7,401812.2,170930.5,80584.4,50245.8,475575.5,2215584.4,349957.2,8805.8,74912.9,11662.5,41727.5,135686.4,69647.1,439736.9,258095.5,295378.4,235381.8,220686.1,159578.5,183027.0,43974.3,186623.3,161194.4,76861.2,27167.8,121014.1,14204.2,12355.4
2006,178846.1,82100.4,112841.7,166176.5,55090.0,86150.5,54351.1,104035.7,179057.3,934328.9,64801.6,105491.9,79043.4,79766.2,127363.8,142240.1,153251.5,84228.3,218490.7,215932.7,201939.2,103138.7,265260.4,158127.0,74923.8,51464.9,21132.4,12844.1,,483950.7,85112.1,252142.7,340012.5,124153.5,9033.5,43309.7,23260.1,43341.2,32344.4,181675.1,505205.8,43663.7,57974.2,605911.5,164848.5,93172.0,383770.1,97047.1,376180.3,302808.4,88805.0,487713.5,204291.2,101950.3,68434.5,653908.3,2551355.4,446918.0,11609.4,91712.4,15146.8,53689.3,173810.5,90732.1,585881.9,330834.3,342210.6,296064.5,262506.7,188800.7,206845.0,56119.8,215934.4,194259.6,95090.9,31203.2,166105.4,17976.8,15538.0
2007,237013.3,102706.2,146663.0,222811.9,74752.0,111869.0,65700.4,128799.0,209821.5,1295649.9,77101.2,121305.2,95703.4,106039.6,156034.6,174110.9,186577.5,104603.3,241150.5,268672.1,243336.3,143927.7,309028.6,191584.6,86664.9,61561.9,29085.1,17225.8,,648211.3,100359.2,331766.8,450434.7,156928.8,16812.4,48908.7,27469.7,52804.8,48056.1,222239.6,590054.1,55069.2,77048.8,757401.4,205647.4,123453.3,477794.2,118154.9,473307.4,370880.9,119104.0,584968.6,252867.2,124676.2,81076.0,820792.5,2758813.1,575643.7,15108.5,107442.0,19384.2,63722.0,223563.4,110822.4,734154.8,402654.7,437790.2,365531.2,296004.7,214487.0,242656.5,66076.8,259041.4,231293.2,111761.2,35314.4,286273.0,23726.1,20984.1
