0,A,B,C,F,G,J,K,L,M,O,R,T
1995-01-01,39097.75,385805.80000000005,322235.69999999995,95237.95,304642.95,63526.6,80657.45000000001,168195.05,137818.45,289010.45,53107.9,1617100.35
1995-04-01,43299.15,386044.05,326747.5,102205.95000000001,312451.75,63779.55,81856.25,169052.05,138204.09999999998,291465.75,53261.45,1641620.0
1995-07-01,45532.2,381629.35,322274.3,101585.25,318093.4,65412.1,84638.5,173178.25,141622.15,295488.75,54852.85,1662032.85
1995-10-01,44717.0,397752.0,333752.3,104468.85,324018.8,69431.75,87932.4,175568.15000000002,146429.9,310868.9,56281.65,1717469.4
1996-01-01,41079.65,398045.75,330243.7,94066.4,316696.2,67688.29999999999,87443.3,178257.75,146736.85,303167.65,56338.899999999994,1689520.8
1996-04-01,45964.5,398855.55,335946.2,105168.85,330834.65,69317.45,87033.35,182186.8,150295.1,309498.55,57295.95,1736450.8
1996-07-01,48024.2,394892.65,331803.19999999995,105548.15,334032.55000000005,70589.45,87192.4,184325.05,152425.0,312313.65,58633.25,1747976.35
1996-10-01,45864.3,414437.2,345846.75,108523.20000000001,340932.4,75864.1,89390.7,186444.25,157738.7,330257.65,60486.149999999994,1809938.7
1997-01-01,41016.4,410674.15,341067.75,97200.65,333948.3,75845.2,91024.1,190337.95,155752.05,319204.55000000005,60125.55,1775128.7999999998
1997-04-01,45704.1,420794.80000000005,356893.35,106170.75,350922.25,77586.55,91184.0,193152.8,161714.65000000002,323281.19999999995,61360.2,1831871.2999999998
1997-07-01,49392.75,416666.8,353081.25,106372.1,359462.7,78880.85,92836.3,196911.35,165083.2,326108.5,61818.15,1853532.75
1997-10-01,48243.4,438122.5,369473.1,111199.35,367865.7,83542.3,91090.20000000001,197924.25,171096.2,340724.7,63080.35,1912888.9
1998-01-01,42273.55,437451.65,367391.65,103716.4,360014.45,84040.45,94463.65,199614.2,167613.55,329920.75,62591.399999999994,1881699.9
1998-04-01,45950.65,438549.0,373278.4,109277.95000000001,372142.55,86367.15,93365.0,201973.5,173189.7,333636.4,63647.649999999994,1918099.6
1998-07-01,48256.45,427938.0,363618.6,109950.45000000001,377493.15,88362.25,92034.45000000001,203888.5,175274.35,335666.85,64900.95,1923765.4500000002
1998-10-01,46284.25,437685.6,370036.69999999995,113325.1,380940.5,93743.05,95018.8,205424.9,182366.7,353539.05,66722.85,1975050.8
1999-01-01,41240.8,433174.6,363893.19999999995,106578.54999999999,370789.19999999995,91251.95,99159.95000000001,206583.09999999998,181459.45,344704.2,65667.2,1940608.9
1999-04-01,44580.649999999994,439181.55,374376.0,114910.79999999999,384566.4,93771.25,101798.15,208857.85,186386.7,350273.4,68301.3,1992628.0
1999-07-01,47059.75,438255.55,372875.45,115992.65,392511.4,96365.6,99422.29999999999,213204.25,188312.75,353018.19999999995,68944.0,2013086.5
1999-10-01,46771.2,462707.3,391458.85,121599.5,402482.80000000005,102135.0,101794.95,218228.6,200931.6,373725.95,70593.65,2100970.55
2000-01-01,42138.899999999994,466620.85,391482.30000000005,117474.4,400232.6,101754.45000000001,105725.95000000001,225316.35,201935.5,366507.30000000005,71517.8,2099224.15
2000-04-01,46063.85,474752.85,404667.9,124815.45000000001,413903.55,102933.25,105368.4,229014.2,207680.45,371947.9,72312.6,2148792.45
2000-07-01,49410.2,470680.1,399258.8,124857.65,420460.2,104736.95,103236.7,231968.55,210794.0,376196.65,73600.0,2165940.85
2000-10-01,48562.05,493530.44999999995,416120.9,131502.65,431708.15,111102.8,103279.35,235045.95,219224.5,396266.75,74504.8,2244727.4
