"","geo","time","values"
"1","AT",2018-10-01,89932.3
"2","ES",2018-10-01,290802
"3","FR",2018-10-01,533655
"4","LT",2018-10-01,10798.2
"5","NL",2018-10-01,178005
"6","NO",2018-10-01,86006.3
"7","UK",2018-10-01,541927.5
"8","AT",2018-07-01,86126.6
"9","BE",2018-07-01,97585
"10","BG",2018-07-01,13353
"11","CH",2018-07-01,147205.7
"12","CY",2018-07-01,4591.1
"13","CZ",2018-07-01,47026.4
"14","DE",2018-07-01,775183
"15","DK",2018-07-01,64105.5
"16","EA",2018-07-01,2588750
"17","EA12",2018-07-01,2526425.1
"18","EA19",2018-07-01,2588750
"19","EE",2018-07-01,5677.2
"20","EL",2018-07-01,43518.8
"21","ES",2018-07-01,269045
"22","EU15",2018-07-01,3213524.4
"23","EU27_2019",2018-07-01,3007759.8
"24","EU28",2018-07-01,3533647
"25","FI",2018-07-01,50181
"26","FR",2018-07-01,513542
"27","HR",2018-07-01,11538.1
"28","HU",2018-07-01,28143.1
"29","IE",2018-07-01,75857.5
"30","IT",2018-07-01,387434.7
"31","LT",2018-07-01,10823.3
"32","LU",2018-07-01,12976.5
"33","LV",2018-07-01,6748.8
"34","MK",2018-07-01,2383.8
"35","MT",2018-07-01,2827.3
"36","NL",2018-07-01,170921
"37","NO",2018-07-01,80199.4
"38","PL",2018-07-01,106225.2
"39","PT",2018-07-01,43876.8
"40","RO",2018-07-01,51406.7
"41","RS",2018-07-01,9084.9
"42","SE",2018-07-01,97355.4
"43","SI",2018-07-01,10287.1
"44","SK",2018-07-01,21520
"45","TR",2018-07-01,137877.7
"46","UK",2018-07-01,525192.5
"47","XK",2018-07-01,1438.1
"48","AL",2018-04-01,3014.1
"49","AT",2018-04-01,84835.6
"50","BE",2018-04-01,101527
"51","BG",2018-04-01,11541.4
"52","CH",2018-04-01,143680.3
"53","CY",2018-04-01,4489.3
"54","CZ",2018-04-01,46687.2
"55","DE",2018-04-01,760705
"56","DK",2018-04-01,64569.6
"57","EA",2018-04-01,2597921.9
"58","EA12",2018-04-01,2538334
"59","EA19",2018-04-01,2597921.9
"60","EE",2018-04-01,5598.9
"61","EL",2018-04-01,40651.7
"62","ES",2018-04-01,275902
"63","EU15",2018-04-01,3235356.6
"64","EU27_2019",2018-04-01,3010854.7
"65","EU28",2018-04-01,3538041
"66","FI",2018-04-01,50812
"67","FR",2018-04-01,520274
"68","HR",2018-04-01,10667.3
"69","HU",2018-04-01,27591.6
"70","IE",2018-04-01,71476.1
"71","IT",2018-04-01,398437.2
"72","LT",2018-04-01,9935.4
"73","LU",2018-04-01,13146.5
"74","LV",2018-04-01,6394.3
"75","MK",2018-04-01,2241.7
"76","MT",2018-04-01,2721.5
"77","NL",2018-04-01,176240
"78","NO",2018-04-01,81527.3
"79","PL",2018-04-01,104038.8
"80","PT",2018-04-01,44099.3
"81","RO",2018-04-01,42014.2
"82","RS",2018-04-01,8746.2
"83","SE",2018-04-01,105533.3
"84","SI",2018-04-01,10217.4
"85","SK",2018-04-01,20301.2
"86","TR",2018-04-01,150808.2
"87","UK",2018-04-01,531690.6
"88","XK",2018-04-01,1350.2
"89","AL",2018-01-01,2484
"90","AT",2018-01-01,83812.3
"91","BE",2018-01-01,97313
"92","BG",2018-01-01,9734.7
"93","CH",2018-01-01,140809.9
"94","CY",2018-01-01,4169.8
"95","CZ",2018-01-01,43675.1
"96","DE",2018-01-01,745603
"97","DK",2018-01-01,61829.4
"98","EA",2018-01-01,2515161.5
"99","EA12",2018-01-01,2461364.1
"100","EA19",2018-01-01,2515161.5
"101","EE",2018-01-01,5057.4
"102","EL",2018-01-01,36472.2
"103","ES",2018-01-01,256416
"104","EU15",2018-01-01,3154718
"105","EU27_2019",2018-01-01,2905121.9
"106","EU28",2018-01-01,3434382.7
"107","FI",2018-01-01,47950
"108","FR",2018-01-01,522968
"109","HR",2018-01-01,9555
"110","HU",2018-01-01,24864.7
"111","IE",2018-01-01,72316.6
"112","IT",2018-01-01,377632.9
"113","LT",2018-01-01,8918.2
"114","LU",2018-01-01,12910.9
"115","LV",2018-01-01,5548.3
"116","MK",2018-01-01,2092.9
"117","MT",2018-01-01,2537.1
"118","NL",2018-01-01,166883
"119","NO",2018-01-01,79636.1
"120","PL",2018-01-01,103252.5
"121","PT",2018-01-01,41727.6
"122","RO",2018-01-01,34662.1
"123","RS",2018-01-01,8155.5
"124","SE",2018-01-01,102472.8
"125","SI",2018-01-01,9202.8
"126","SK",2018-01-01,18418.7
"127","TR",2018-01-01,149594
"128","UK",2018-01-01,530894.2
"129","XK",2018-01-01,1053.8
"130","AL",2017-10-01,2649
"131","AT",2017-10-01,86450.6
"132","BA",2017-10-01,3433.6
"133","BE",2017-10-01,102588
"134","BG",2017-10-01,12448.9
"135","CH",2017-10-01,141523.2
"136","CY",2017-10-01,4333.5
"137","CZ",2017-10-01,46493.7
"138","DE",2017-10-01,750372
"139","DK",2017-10-01,64863.4
"140","EA",2017-10-01,2598798.8
"141","EA12",2017-10-01,2540681.8
"142","EA19",2017-10-01,2598798.8
"143","EE",2017-10-01,5419
"144","EL",2017-10-01,39377.5
"145","ES",2017-10-01,281403
"146","EU15",2017-10-01,3239763
"147","EU27_2019",2017-10-01,3038186.4
"148","EU28",2017-10-01,3563619.6
"149","FI",2017-10-01,50559
"150","FR",2017-10-01,522890
"151","HR",2017-10-01,9993.6
"152","HU",2017-10-01,28967.6
"153","IE",2017-10-01,75001.3
"154","IT",2017-10-01,405881.9
"155","LT",2017-10-01,10033.2
"156","LU",2017-10-01,13582.7
"157","LV",2017-10-01,6361.1
"158","MK",2017-10-01,2340.4
"159","MT",2017-10-01,2501.6
"160","NL",2017-10-01,170547
"161","NO",2017-10-01,80191.6
"162","PL",2017-10-01,116544.6
"163","PT",2017-10-01,42705
"164","RO",2017-10-01,51211
"165","RS",2017-10-01,8920
"166","SE",2017-10-01,108749.1
"167","SI",2017-10-01,9716.3
"168","SK",2017-10-01,19772.2
"169","TR",2017-10-01,175076.8
"170","UK",2017-10-01,527229.5
"171","XK",2017-10-01,1321.1
"172","AL",2017-07-01,2491.7
"173","AT",2017-07-01,82735.2
"174","BA",2017-07-01,3754.5
"175","BE",2017-07-01,95136
"176","BG",2017-07-01,12268.2
"177","CH",2017-07-01,143527.6
"178","CY",2017-07-01,4356.2
"179","CZ",2017-07-01,44308.1
"180","DE",2017-07-01,753377
"181","DK",2017-07-01,62998.6
"182","EA",2017-07-01,2513323
"183","EA12",2017-07-01,2455125.9
"184","EA19",2017-07-01,2513323
"185","EE",2017-07-01,5168.1
"186","EL",2017-07-01,42494.7
"187","ES",2017-07-01,260107
"188","EU15",2017-07-01,3123251.8
"189","EU27_2019",2017-07-01,2920619.5
"190","EU28",2017-07-01,3423832.3
"191","FI",2017-07-01,47899
"192","FR",2017-07-01,501703
"193","HR",2017-07-01,11045.9
"194","HU",2017-07-01,27224.3
"195","IE",2017-07-01,71681.2
"196","IT",2017-07-01,382195.2
"197","LT",2017-07-01,10187.9
"198","LU",2017-07-01,12069.7
"199","LV",2017-07-01,6210.6
"200","MK",2017-07-01,2249
"201","MT",2017-07-01,2609
"202","NL",2017-07-01,163220
"203","NO",2017-07-01,75209
"204","PL",2017-07-01,100748.4
"205","PT",2017-07-01,42569.9
"206","RO",2017-07-01,46773.6
"207","RS",2017-07-01,8451.2
"208","SE",2017-07-01,101853.1
"209","SI",2017-07-01,9553.3
"210","SK",2017-07-01,20127.8
"211","TR",2017-07-01,179056.7
"212","UK",2017-07-01,504850.8
"213","XK",2017-07-01,1417.3
"214","AL",2017-04-01,2703.8
"215","AT",2017-04-01,81269
"216","BA",2017-04-01,3425.7
"217","BE",2017-04-01,99221
"218","BG",2017-04-01,10899.2
"219","CH",2017-04-01,149120.6
"220","CY",2017-04-01,4295.8
"221","CZ",2017-04-01,42811.2
"222","DE",2017-04-01,729754
"223","DK",2017-04-01,64174
"224","EA",2017-04-01,2507453.6
"225","EA12",2017-04-01,2451779.9
"226","EA19",2017-04-01,2507453.6
"227","EE",2017-04-01,5169.7
"228","EL",2017-04-01,39699.9
"229","ES",2017-04-01,268208
"230","EU15",2017-04-01,3146315.7
"231","EU27_2019",2017-04-01,2907159.7
"232","EU28",2017-04-01,3430170
"233","FI",2017-04-01,48626
"234","FR",2017-04-01,509649
"235","HR",2017-04-01,10173.5
"236","HU",2017-04-01,25843.3
"237","IE",2017-04-01,64244.8
"238","IT",2017-04-01,387320.3
