,Валовой внутренний продукт,Расходы домашних хозяйств,Расходы государственного управления,"Расходы некоммерческих организаций, обслуживающих домашние хозяйства",Валовое накопление основного капитала,Изменение запасов материальных оборотных средств,Экспорт,Импорт,Статистическое расхождение
1995-01-01,235,126,50.7,4.5,30,0.9,88.5,-69.6,4
1995-04-01,324.3,163.7,63.6,5.7,61.7,7.7,113.9,-94.7,2.7
1995-07-01,421.1,200.9,74.2,6.6,75.8,56.4,101.9,-96.7,2
1995-10-01,448.2,229.2,84,7.5,133.6,-2.7,114.1,-108.9,-8.6
1996-01-01,425.3,230,91.8,8.6,63.4,10,110.2,-97.2,8.5
1996-04-01,468.4,242.9,97.5,9.2,78.9,12.4,123.5,-107.5,11.5
1996-07-01,548.9,256.1,99.5,9.3,97.6,73,134.7,-115.3,-6
1996-10-01,565.2,278.8,102.6,9.6,161.7,-21.8,155.1,-118.7,-2.1
1997-01-01,512.4,282.8,119,11.5,77.1,6.3,130.3,-108.7,-5.9
1997-04-01,555.1,292,123.1,11.8,90.1,17.7,135.2,-125,10.2
1997-07-01,634.2,315,125.3,12,116,70,148.4,-139.9,-12.6
1997-10-01,640.9,345.4,126.1,12.1,145.3,-7.7,165.4,-154.1,8.4
1998-01-01,550.9,307.2,102.7,10.2,73.6,53.6,124.8,-131.4,10.2
1998-04-01,602.5,312.4,104.1,10.5,90,72.8,133,-134.3,14
1998-07-01,675.5,371.6,120.1,11.9,115.2,4.5,197.3,-161.7,16.6
1998-10-01,800.8,471.1,165.7,16.3,145.9,-162.1,365.9,-218.2,16.2
1999-01-01,901.3,536.7,158.6,12.7,101.9,-32.5,388.3,-264.4,0
1999-04-01,1101.5,580.5,172,13.8,139.1,31,470.9,-305.8,0
1999-07-01,1373.1,655.3,182.6,14.6,194,119.8,529,-322.2,0
1999-10-01,1447.3,753.7,190,15.2,258.9,-96.9,696.4,-370,0
2000-01-01,1527.4,724,255.2,18.5,179.7,-2.7,755.2,-382.9,-19.6
2000-04-01,1696.6,760.9,265,19.2,252.5,30.7,803,-414.4,-20.3
2000-07-01,2037.8,857.6,289.5,20.2,346.3,123.8,834.1,-461.9,28.2
2000-10-01,2043.7,952.7,292.8,21.2,453.5,-18.1,826.6,-496.6,11.6
2001-01-01,1900.9,937.1,345.9,23.3,264.4,-10.7,792.7,-435.6,-16.2
2001-04-01,2105,1023,365.2,24.5,367.5,42.1,838.8,-544.1,-12
2001-07-01,2487.9,1125,373.8,25.1,470.3,212.4,848.7,-574.2,6.8
2001-10-01,2449.8,1233,385,25.9,587.1,30,819.4,-612,-18.6
2002-01-01,2262.2,1201.4,457,31.5,305.6,47.7,759.5,-523.8,-16.7
2002-04-01,2528.7,1271.9,474.1,32.6,418.3,37.8,929.5,-638.8,3.3
2002-07-01,3012.8,1389.5,482.9,33.2,542.7,72.4,1043.2,-713.5,162.3
2002-10-01,3026.9,1537.6,497.3,34.2,672.7,72.1,1081.6,-770.1,-98.4
2003-01-01,2851.1,1476.1,563.8,37.4,376.2,6.3,1081,-667,-22.7
2003-04-01,3101.7,1546.6,587.4,38.6,530.9,49.5,1103.1,-751.6,-2.8
2003-07-01,3600.2,1661.3,595.6,39,672.1,313,1206.6,-846.4,-41
2003-10-01,3655.2,1853.4,619.6,39.9,853.1,-46,1265.2,-888.9,-41.1
2004-01-01,3515.7,1862.8,691.3,36,496.3,-3.3,1180,-754.4,7
2004-04-01,3971.6,1985.7,712.1,37,690.5,69.7,1391.3,-896.4,-18.3
2004-07-01,4594,2174.8,726.1,37.8,850.3,356.2,1585.6,-1028.1,-108.7
2004-10-01,4945.9,2415.2,760.3,38.8,1093.4,5.8,1703.5,-1095,23.9
2005-01-01,4458.6,2307.3,864.4,33.6,584,93.7,1531.3,-914.2,-41.5
2005-04-01,5077.9,2536.3,901.8,34.8,832.6,43.8,1844.8,-1081.7,-34.5
2005-07-01,5845.2,2755.1,920.3,35.2,1049.6,420.9,2049.7,-1260.9,-124.7
2005-10-01,6228.1,3054.2,959.4,35.8,1370.7,-56.6,2181.5,-1391.5,74.6
2006-01-01,5792.9,2815.1,1125.5,37.8,706,143.3,2062.9,-1100.5,2.8
2006-04-01,6368.1,3095.6,1165.2,38.4,1076.9,81.1,2288.7,-1343.7,-34.1
2006-07-01,7275.8,3346.7,1179.4,39,1350.3,513.4,2373.8,-1494.8,-32
2006-10-01,7480.3,3717.3,1210.3,39.4,1847.4,-19.6,2353.9,-1714.4,46
2007-01-01,6780.2,3403.1,1371.1,44.8,954.4,261.9,2086.2,-1403,61.7
2007-04-01,7767.5,3789.7,1419.4,45.6,1479.5,265.1,2405.5,-1715.4,78.1
2007-07-01,8902.7,4158.6,1442.5,47,1805.1,689.8,2558.3,-1915.3,116.7
2007-10-01,9797,4680.3,1518,48.5,2741.4,-163.1,2978.8,-2128.5,121.6
2008-01-01,8877.7,4307,1738.3,51.5,1404.3,323,2921.9,-1816.1,-52.2
2008-04-01,10238.3,4785.1,1825,53.4,2093.8,504.7,3307.1,-2239.5,-91.3
2008-07-01,11542,5255.2,1859.5,54.7,2471.6,1008.5,3675.2,-2569.7,-213
2008-10-01,10618.9,5619.6,1937.1,57.1,3231.1,-510.9,3019.4,-2485.7,-248.8
