time,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
1978-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,7669.0,,,,,,,,,,
1978-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,8003.4,,,,,,,,,,
1978-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,8276.4,,,,,,,,,,
1978-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,8410.9,,,,,,,,,,
1979-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,8214.7,,,,,,,,,,
1979-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,8473.7,,,,,,,,,,
1979-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,8764.7,,,,,,,,,,
1979-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,8962.0,,,,,,,,,,
1980-01-01,,,,,,,,,,,,,,,108348.1,,,,,,,,,,,9945.8,,,,,,,,,,
1980-04-01,,,,,,,,,,,,,,,113131.8,,,,,,,,,,,10288.7,,,,,,,,,,
1980-07-01,,,,,,,,,,,,,,,111824.3,,,,,,,,,,,10277.8,,,,,,,,,,
1980-10-01,,,,,,,,,,,,,,,117084.8,,,,,,,,,,,10959.5,,,,,,,,,,
1981-01-01,,,,,,,,,,,,,,,118704.5,,,,,,,,,,,11895.8,,,,,,,,,,
1981-04-01,,,,,,,,,,,,,,,122748.6,,,,,,,,,,,12838.8,,,,,,,,,,
1981-07-01,,,,,,,,,,,,,,,122685.1,,,,,,,,,,,13085.6,,,,,,,,,,
1981-10-01,,,,,,,,,,,,,,,130516.3,,,,,,,,,,,12996.2,,,,,,,,,,
1982-01-01,,,,,,,,,,,,,,,133062.2,,,,,,,,,,,14088.6,,,,,,,,,,
1982-04-01,,,,,,,,,,,,,,,137477.4,,,,,,,,,,,14374.8,,,,,,,,,,
1982-07-01,,,,,,,,,,,,,,,127385.7,,,,,,,,,,,14532.2,,,,,,,,,,
1982-10-01,,,,,,,,,,,,,,,135856.4,,,,,,,,,,,14102.2,,,,,,,,,,
1983-01-01,,,,,,,,,,,,,,,140788.9,,,,,,,,,,,14193.0,,,,,,,,,,
1983-04-01,,,,,,,,,,,,,,,140478.7,,,,,,,,,,,15100.5,,,,,,,,,,
1983-07-01,,,,,,,,,,,,,,,137035.6,,,,,,,,,,,15779.0,,,,,,,,,,
1983-10-01,,,,,,,,,,,,,,,144017.6,,,,,,,,,,,16519.8,,,,,,,,,,
1984-01-01,,,,,,,,,,,,,,,147795.5,,,,,,,,,,,17143.8,,,,,,,,,,
1984-04-01,,,,,,,,,,,,,,,150113.2,,,,,,,,,,,16996.7,,,,,,,,,,
1984-07-01,,,,,,,,,,,,,,,147521.2,,,,,,,,,,,17910.2,,,,,,,,,,
1984-10-01,,,,,,,,,,,,,,,156678.3,,,,,,,,,,,18228.7,,,,,,,,,,
1985-01-01,,,,,,,,,,,,,,,158695.9,,,,,,,,,,,18776.2,,,,,,,,,,
1985-04-01,,,,,,,,,,,,,,,161974.8,,,,,,,,,,,17970.2,,,,,,,,,,
1985-07-01,,,,,,,,,,,,,,,159727.3,,,,,,,,,,,19413.9,,,,,,,,,,
