date,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,ZZ
2005-01-01,44760.5,179355.5,103203.5,255921.4,1959066.5,249467.8,240783.5,59167.0,793185.8,442264.9,67652.1,143221.1,54275.9,683764.9,282825.8,121598.3,165875.4,245844.9,387783.1,300352.8,53293.3,451129.4,279679.3,259372.6,94015.6,36793.7,403897.7,28966.3,87302.1,63867.3,509686.4,83864.1,136678.4,1152497.2,539054.9,142152.4,156814.0,581956.0,51620.0,165213.0,35923.1,261777.8,1130715.4,106441.1,408116.2,26862.4,339462.3,260200.0,65018.0,32966.4,45894.89999999851
2005-04-01,45182.9,181373.0,103855.9,261073.7,1976140.0,250972.5,242272.3,57875.9,799832.4,444204.0,68161.8,144038.1,55116.3,683702.1,285195.7,122315.9,168425.9,248686.6,388621.4,303643.5,53439.3,452208.8,280474.9,261193.1,94198.2,36734.3,404442.8,29103.9,88181.6,64350.5,511460.0,84258.6,140495.9,1164319.6,542597.1,143785.5,157084.6,585549.2,52320.5,166163.5,35685.8,262708.8,1126781.7,107672.4,413604.8,26757.2,342858.6,261519.1,66030.3,33646.0,19465.5
2005-07-01,44829.0,181292.6,104669.7,267038.7,2004193.3,252697.5,241897.2,57893.6,816814.9,445346.6,68782.7,145072.6,56129.5,688056.0,286887.7,123365.4,170058.6,244213.3,392885.7,309318.4,53605.0,449399.7,285443.1,262210.8,94831.5,37088.4,408692.4,29076.7,89362.7,64713.7,516174.8,83576.5,140207.7,1177323.4,546787.8,143898.7,158999.2,591428.5,52330.7,166976.4,35935.6,266316.9,1130822.7,109997.1,419224.1,26934.0,342176.5,264704.8,65497.2,32745.4,24128.999999998137
2005-10-01,45434.0,183522.6,106884.1,268210.0,2021163.3,250220.8,244988.5,64957.5,815521.3,450317.5,69665.4,143173.3,56026.6,688063.8,287058.4,121751.6,170860.7,243347.6,393878.9,310658.6,54112.3,450245.7,282778.8,263343.9,97866.7,37692.0,412932.6,29280.1,90729.4,64494.1,516673.5,83600.8,141397.4,1190063.7,546539.1,142453.5,160953.5,593285.7,52993.9,167942.9,36084.6,267805.3,1142864.7,112471.8,419402.3,27084.2,348950.5,262219.3,65649.9,33125.3,35855.0
2006-01-01,46682.9,183884.5,106395.5,274037.7,2069332.5,255571.0,252521.0,61390.7,830312.7,448496.7,69781.8,144900.5,57432.0,702154.1,289640.1,127889.1,173060.0,244425.1,395640.7,310558.2,54166.1,444060.5,282967.1,262985.2,96356.4,37679.5,429257.0,29708.5,90056.3,65186.8,520380.4,85724.2,144320.4,1208209.7,541979.8,157797.2,166206.2,586000.1,52546.5,169871.6,36285.6,269900.3,1185235.2,115652.1,424899.6,27378.9,353388.7,265889.8,66220.2,35486.5,17122.800000002608
2006-04-01,48226.1,185071.6,107870.8,274942.9,2061917.5,254130.1,250059.3,62194.5,832427.0,448768.1,70321.3,146074.0,58100.5,703765.0,290560.3,129176.5,174099.7,243788.1,397196.0,310764.1,54511.0,445310.6,284729.6,264967.3,97919.0,38183.1,432549.3,30387.3,93161.0,65114.1,526500.5,85774.4,146119.5,1198950.8,542732.0,152020.3,166619.2,590270.9,53723.4,170060.8,36624.9,272447.5,1201746.0,117641.8,423792.4,27210.1,354382.6,266232.5,66486.7,36948.1,10134.900000000373
2006-07-01,48812.8,185017.6,107027.0,278323.4,2072917.1,257421.7,250320.2,61658.9,833259.7,450783.9,70803.9,145302.4,57054.6,703594.1,291483.4,128600.1,173393.1,242432.8,395712.8,312219.9,54191.4,443335.5,280167.8,262468.0,98000.5,38721.7,432221.7,30282.0,90957.0,65679.0,523328.6,85702.5,145000.0,1190250.9,541033.5,150401.7,168538.1,594567.0,54319.1,169970.0,36543.4,270966.7,1214756.8,119655.0,423351.9,27109.6,356731.1,266712.8,66424.2,38342.9,20498.199999999255
2006-10-01,50346.4,185211.9,106466.6,281849.0,2084540.9,257374.5,253424.8,60743.0,841384.1,454287.9,70704.4,147271.9,57771.2,708464.8,293392.7,129931.2,172793.6,242683.6,402421.0,313178.6,54212.4,440526.8,280016.7,262512.2,98717.2,39140.6,436327.4,30668.2,91374.4,67799.9,526015.2,86361.5,145397.6,1202204.0,538972.9,150416.7,170285.4,597283.2,53483.8,171453.6,36382.2,272543.7,1239409.1,121933.3,422906.1,26830.9,362262.3,267050.3,66610.4,39329.1,44258.800000000745
2007-01-01,50707.8,184001.5,104012.0,282009.3,2076506.4,258827.4,261497.3,61186.2,833104.3,447229.5,70349.6,150041.8,58073.6,708900.0,293152.8,134050.9,170130.5,235740.1,401854.8,310325.7,53566.4,443890.1,279355.3,259397.5,98527.4,39952.9,437559.7,30835.5,92973.0,65246.9,520567.3,85867.8,144277.8,1239201.0,540309.5,152084.7,167572.3,601967.8,53214.3,171474.9,37975.1,265193.8,1248291.1,121859.1,425068.4,26629.4,365115.4,267172.5,66029.5,39699.8,60750.30000000261
2007-04-01,51595.1,185320.9,104804.5,284354.6,2090690.9,262964.8,261637.9,62708.3,835156.2,451114.8,70571.9,152696.1,58303.8,711825.9,298239.2,135228.6,171246.3,234265.3,405317.3,312921.3,54083.6,442953.1,283804.3,263855.1,98759.8,40416.4,434785.1,31346.9,93022.0,66520.1,526589.3,86621.3,143494.0,1199565.8,540065.8,154576.5,169649.0,605937.4,52240.6,174204.5,38211.7,266975.8,1275827.1,125025.4,425607.8,26756.4,375857.1,267492.2,66368.1,40207.1,70302.00000000186
